hour,load,wind,solar
0,87.400000,4.285558,6.277500
1,82.650000,3.318839,13.882500
2,78.850000,2.584241,20.382000
3,76.950000,1.065139,26.422500
4,77.900000,0.000000,15.435000
5,84.550000,0.000000,19.264500
6,97.850000,0.000000,15.540000
7,115.900000,0.000000,10.237500
8,132.050000,0.000000,3.937500
9,137.750000,0.000000,0.277500
10,133.950000,0.743787,0.000000
11,127.300000,1.342506,0.000000
12,121.600000,1.271436,0.000000
13,118.750000,0.954941,0.000000
14,120.650000,0.703011,0.000000
15,126.350000,0.181084,0.000000
16,135.850000,0.000000,0.000000
17,146.300000,0.000000,0.000000
18,152.000000,0.583541,0.000000
19,153.900000,1.767585,0.000000
20,143.450000,2.494211,0.000000
21,125.400000,2.175191,0.000000
22,106.400000,1.390535,0.000000
23,94.050000,0.603157,0.732000
24,92.000000,0.000000,6.087000
25,87.000000,0.000000,13.152000
26,83.000000,0.000000,19.447500
27,81.000000,0.000000,8.367000
28,82.000000,0.000000,12.777000
29,89.000000,0.000000,15.465000
30,103.000000,0.000000,10.833000
31,122.000000,0.000000,5.800500
32,139.000000,0.000000,1.818000
33,145.000000,0.000000,0.243000
34,141.000000,0.000000,0.000000
35,134.000000,0.000000,0.000000
36,128.000000,0.000000,0.000000
37,125.000000,0.682803,0.000000
38,127.000000,2.175191,0.000000
39,133.000000,3.251786,0.000000
40,143.000000,3.841588,0.000000
41,154.000000,3.663411,0.000000
42,160.000000,3.185346,0.000000
43,162.000000,2.554086,0.000000
44,151.000000,2.260484,0.000000
45,132.000000,2.434916,0.000000
46,112.000000,2.675586,0.000000
47,99.000000,2.464491,0.537000
48,96.600000,1.439086,5.854500
49,91.350000,0.164080,14.917500
50,87.150000,0.000000,25.443000
51,85.050000,0.000000,23.047500
52,86.100000,0.000000,13.522500
53,93.450000,0.000000,12.240000
54,108.150000,0.000000,5.707500
55,128.100000,0.000000,7.062000
56,145.950000,0.000000,3.000000
57,152.250000,0.000000,0.300000
58,148.050000,0.000000,0.000000
59,140.700000,0.000000,0.000000
60,134.400000,0.000000,0.000000
61,131.250000,0.000000,0.000000
62,133.350000,0.000000,0.000000
63,139.650000,0.000000,0.000000
64,150.150000,0.000000,0.000000
65,161.700000,0.000000,0.000000
66,168.000000,0.000000,0.000000
67,170.100000,0.000000,0.000000
68,158.550000,0.000000,0.000000
69,138.600000,0.000000,0.000000
70,117.600000,0.000000,0.000000
71,103.950000,0.000000,0.862500
72,87.400000,0.000000,7.308000
73,82.650000,0.000000,14.437500
74,78.850000,0.000000,12.717000
75,76.950000,0.000000,16.582500
76,77.900000,0.000000,14.793000
77,84.550000,0.000000,15.310500
78,97.850000,0.000000,9.030000
79,115.900000,0.000000,6.945000
80,132.050000,0.000000,3.672000
81,137.750000,0.000000,0.325500
82,133.950000,0.000000,0.000000
83,127.300000,0.000000,0.000000
84,121.600000,0.000000,0.000000
85,118.750000,0.000000,0.000000
86,120.650000,0.000000,0.000000
87,126.350000,0.000000,0.000000
88,135.850000,0.285421,0.000000
89,146.300000,0.723339,0.000000
90,152.000000,0.764356,0.000000
91,153.900000,0.954941,0.000000
92,143.450000,1.664100,0.000000
93,125.400000,2.675586,0.000000
94,106.400000,4.097741,0.000000
95,94.050000,4.753097,0.618000
96,92.000000,3.805635,4.908000
97,87.000000,3.086831,9.100500
98,83.000000,1.767585,9.993000
99,81.000000,0.412241,7.177500
100,82.000000,0.000000,13.552500
101,89.000000,0.000000,12.307500
102,103.000000,0.000000,16.747500
103,122.000000,0.000000,13.095000
104,139.000000,0.000000,4.563000
105,145.000000,1.224700,0.577500
106,141.000000,3.021914,0.000000
107,134.000000,3.558400,0.000000
108,128.000000,2.830773,0.000000
109,125.000000,3.054297,0.000000
110,127.000000,5.329159,0.000000
111,133.000000,7.214656,0.000000
112,143.000000,7.516411,0.000000
113,154.000000,5.849853,0.000000
114,160.000000,2.706328,0.000000
115,162.000000,0.357211,0.000000
116,151.000000,4.594594,0.000000
117,132.000000,14.187897,0.000000
118,112.000000,19.632224,0.000000
119,99.000000,19.632224,0.693000
120,96.600000,16.015186,6.663000
121,91.350000,11.691154,14.832000
122,87.150000,6.822791,4.657500
123,85.050000,1.767585,6.052500
124,86.100000,0.000000,10.545000
125,93.450000,0.468300,14.823000
126,108.150000,4.955005,21.472500
127,128.100000,12.288597,14.002500
128,145.950000,19.811543,5.892000
129,152.250000,25.147361,0.685500
130,148.050000,32.027454,0.000000
131,140.700000,34.389186,0.000000
132,134.400000,25.566721,0.000000
133,131.250000,23.814298,0.000000
134,133.350000,46.930845,0.000000
135,139.650000,48.499200,0.000000
136,150.150000,29.539984,0.000000
137,161.700000,23.115212,0.000000
138,168.000000,27.288011,0.000000
139,170.100000,28.063394,0.000000
140,158.550000,35.028563,0.000000
141,138.600000,40.418400,0.000000
142,117.600000,30.590443,0.000000
143,103.950000,21.755754,0.712500
144,87.400000,24.423911,7.132500
145,82.650000,35.675472,18.918000
146,78.850000,43.893041,29.493000
147,76.950000,52.233898,39.270000
148,77.900000,53.744386,51.780000
149,84.550000,54.083843,37.309500
150,97.850000,49.616924,30.412500
151,115.900000,39.578311,22.087500
152,132.050000,25.990443,11.892000
153,137.750000,15.857787,1.162500
154,133.950000,11.625850,0.000000
155,127.300000,7.721365,0.000000
156,121.600000,8.034528,0.000000
157,118.750000,10.858832,0.000000
158,120.650000,9.647441,0.000000
159,126.350000,5.629834,0.000000
160,135.850000,3.913972,0.000000
161,146.300000,3.558400,0.000000
162,152.000000,2.862256,0.000000
163,153.900000,2.008406,0.000000
164,143.450000,1.926894,0.000000
165,125.400000,2.347056,0.000000
166,106.400000,2.830773,0.000000
167,94.050000,3.734206,2.103000
