id,material_value,unit,source,selector,column,scale,tolerance,needle
P01,40,MWh,config/storage.json,key=energy_capacity_MWh,,1,0.0,
P02,20,MW,config/storage.json,key=power_capacity_MW,,1,0.0,
P03,0.5,-,config/storage.json,key=soc_initial,,1,0.0,
P04,0.1,-,config/storage.json,key=soc_min,,1,0.0,
P05,0.9,-,config/storage.json,key=soc_max,,1,0.0,
P06,0.95,-,config/storage.json,key=eta_charge,,1,0.0,
P07,0.95,-,config/storage.json,key=eta_discharge,,1,0.0,
P08,30,MW,config/optimization.json,key=thermal_min_MW,,1,0.0,
P09,30,MW/h,config/optimization.json,key=thermal_ramp_MW_per_h,,1,0.0,
P10,120,MW,config/no_storage.json,key=thermal_max_MW,,1,0.0,
P11,350,元/MWh,config/economics.json,key=parameters.thermal_cost_CNY_per_MWh,,1,0.0,
P12,800,元/kWh,config/economics.json,key=parameters.storage_energy_capex_CNY_per_kWh,,1,0.0,
P13,300,元/kW,config/economics.json,key=parameters.storage_power_capex_CNY_per_kW,,1,0.0,
P14,200,元/MWh,config/economics.json,key=parameters.curtailment_penalty_CNY_per_MWh,,1,0.0,
P15,10000,元/MWh,config/economics.json,key=parameters.load_shedding_penalty_CNY_per_MWh,,1,0.0,
P16,15,年,config/economics.json,key=parameters.storage_lifetime_years,,1,0.0,
P17,0.05,-,config/economics.json,key=parameters.discount_rate,,1,0.0,
P18,10,元/MWh,config/economics.json,key=parameters.storage_variable_om_CNY_per_MWh_discharged,,1,0.0,
P19,8760,小时/年,config/economics.json,key=parameters.hours_per_year,,1,0.0,
N01,81.8231,%,results/optimization/U06R01-v03/summary.csv,scenario=main,renewable_utilization_pct,1,0.00005,
N02,395.5002,MWh,results/optimization/U06R01-v03/summary.csv,scenario=main,curtailment_MWh,1,0.00005,
N03,0,MWh,results/optimization/U06R01-v03/summary.csv,scenario=main,unserved_MWh,1,0.00005,
N04,496637.54,元/24h,results/optimization/U06R01-v03/summary.csv,scenario=main,total_cost_CNY,1,0.005,
N05,7.3736572403504397e-12,-,results/optimization/U06R01-v03/summary.csv,scenario=main,max_residual,1,1e-24,
N06,7,场景,results/optimization/U06R01-v03/summary.csv,count,,1,0.0,
N07,91.2939,%,results/optimization/U06R01-v03/summary.csv,scenario=method,renewable_utilization_pct,1,0.00005,
N08,78.2654,%,results/optimization/U06R01-v03/summary.csv,scenario=zero_storage,renewable_utilization_pct,1,0.00005,
N09,17,场景,instructions/studies/U07R01-factorial-audit/findings.md,text,,1,0.0,共17场景
N10,1.4551915228366852e-11,-,instructions/studies/U07R01-factorial-audit/findings.md,text,,1,0.0,1.4551915228366852e-11
N11,87.1135,%,results/penetration/U08-master-v01/summary.csv,scenario=R080_E000,renewable_utilization_pct,1,0.00005,
N12,62.9123,%,results/penetration/U08-master-v01/summary.csv,scenario=R140_E000,renewable_utilization_pct,1,0.00005,
N13,3.557695,pp,results/penetration/U08-master-v01/marginal.csv,factor=1.0,gain_0_40_pp,1,0.0000005,
N14,2.004261,pp,results/penetration/U08-master-v01/marginal.csv,factor=1.0,gain_40_80_pp,1,0.0000005,
N15,12,场景,results/penetration/U08-master-v01/summary.csv,count,,1,0.0,
N16,486358.65,元/24h,results/grid_search/U09R01-v01/summary.csv,scenario=E070_P25,total_cost_CNY,1,0.005,
N17,83.4660,%,results/grid_search/U09R01-v01/summary.csv,scenario=E070_P25,renewable_utilization_pct,1,0.00005,
N18,359.7528,MWh,results/grid_search/U09R01-v01/summary.csv,scenario=E070_P25,curtailment_MWh,1,0.00005,
N19,496610.8326,元/24h,results/grid_search/U09R01-v01/robustness_summary.csv,scenario=E070_P20,total_cost_CNY,1,0.00005,
N20,101,候选,results/grid_search/U09R01-v01/summary.csv,count,,1,0.0,
N21,303,次,instructions/studies/U09R01-grid-clarification/findings.md,text,,1,0.0,共303次
N22,168,小时,results/real_data/U10-master-v01/input_168h.csv,count,,1,0.0,
N23,16,统计量,results/real_data/U10-master-v01/robustness.csv,count,,1,0.0,
N24,0,-,results/real_data/U10-master-v01/robustness.csv,max:relative_difference,,1,1e-12,
N25,30.59,°N,config/study_sequence_v02.json,key=U10.latitude,,1,0.0,
N26,114.3,°E,config/study_sequence_v02.json,key=U10.longitude,,1,0.0,
N27,6.4346,pp,results/annual/U11R02-v01/comparison.csv,seed=42;N=12,worst_error_pp,1,0.00005,
N28,6.7137,pp,results/annual/U11R02-v01/comparison.csv,seed=42;N=8,worst_error_pp,1,0.00005,
N29,6.6054,pp,results/annual/U11R02-v01/comparison.csv,seed=7;N=12,worst_error_pp,1,0.00005,
N30,365,天,results/annual/U11R02-v01/daily_summary.csv,count,,1,0.0,
N31,425,次,instructions/studies/U11R02-annual-coherent/findings.md,text,,1,0.0,425次Optimal
N32,8760,小时,results/annual/U11R02-v01/input_8760h.csv,count,,1,0.0,
N33,0,小时,instructions/studies/U11R02-annual-coherent/findings.md,text,,1,0.0,触发0小时
N34,1,pp,instructions/studies/U11R02-annual-coherent/findings.md,text,,1,0.0,均超过1个百分点
N35,1480,次,results/ga/U12R01-v01/summary.csv,seed=42,evaluations,1,0.0,
N36,4440,次,instructions/studies/U12R01-ga-baseline/findings.md,text,,1,0.0,共4440次
N37,485969.51,元/24h,results/ga/U12R01-v01/summary.csv,seed=42,cost,1,0.005,
N38,0.0800103,%,results/ga/U12R01-v01/summary.csv,seed=42,relative_error,100,5e-8,
N39,0.0793060,%,results/ga/U12R01-v01/summary.csv,seed=7,relative_error,100,5e-8,
N40,0.0777284,%,results/ga/U12R01-v01/summary.csv,seed=2026,relative_error,100,5e-8,
N41,0.5,%,instructions/studies/U12R01-ga-baseline/findings.md,text,,1,0.0,全部低于0.5%
N42,101,次,instructions/studies/U12R01-ga-baseline/findings.md,text,,1,0.0,评估次数均超过101
N43,1.4210854715202004e-14,-,results/prototype/U13R01-v01/checks.json,key=milp_24h_max_diff,,1,0.0,
N44,4.2105180453333446e-11,-,results/prototype/U13R01-v01/checks.json,key=rule_24h_max_diff,,1,0.0,
N45,5.820766091346741e-11,-,results/prototype/U13R01-v01/checks.json,key=grid_max_diff,,1,0.0,
N46,44,项,results/prototype/audit_v01/unit_tests_20260916.txt,text,,1,0.0,Ran 44 tests
N47,0,个,results/prototype/browser_check_v02/browser_checks.json,count:console_error_events,,1,0.0,
N48,5,步,results/prototype/browser_check_v02/browser_checks.json,count:steps,,1,0.0,
N49,91.1760,%,results/capacity_sensitivity/summary.csv,scenario=E40_P20,renewable_utilization_pct,1,0.00005,
N50,1200,元/kWh,config/study_sequence_v02.json,key=U09.robust_energy_capex,,1,0.0,
N51,500,元/kW,config/study_sequence_v02.json,key=U09.robust_power_capex,,1,0.0,
