day,cluster
0,11
1,4
2,5
3,7
4,11
5,10
6,11
7,11
8,2
9,1
10,11
11,10
12,1
13,3
14,0
15,11
16,8
17,7
18,5
19,5
20,6
21,4
22,4
23,3
24,6
25,11
26,0
27,5
28,10
29,1
30,8
31,4
32,6
33,5
34,10
35,7
36,1
37,1
38,4
39,8
40,7
41,11
42,1
43,0
44,11
45,5
46,6
47,8
48,5
49,0
50,9
51,0
52,7
53,1
54,4
55,4
56,1
57,11
58,10
59,4
60,1
61,1
62,1
63,11
64,1
65,10
66,11
67,1
68,2
69,1
70,0
71,1
72,0
73,9
74,9
75,0
76,6
77,7
78,7
79,5
80,3
81,5
82,6
83,7
84,11
85,1
86,8
87,7
88,5
89,11
90,1
91,9
92,3
93,9
94,0
95,8
96,5
97,1
98,5
99,0
100,11
101,9
102,5
103,8
104,9
105,9
106,0
107,6
108,6
109,5
110,1
111,9
112,9
113,9
114,3
115,1
116,4
117,4
118,3
119,1
120,9
121,1
122,3
123,10
124,9
125,4
126,3
127,9
128,7
129,6
130,5
131,1
132,3
133,9
134,3
135,2
136,5
137,5
138,11
139,3
140,9
141,6
142,5
143,6
144,1
145,9
146,3
147,10
148,11
149,4
150,11
151,8
152,11
153,11
154,1
155,6
156,2
157,10
158,11
159,11
160,0
161,1
162,7
163,7
164,11
165,4
166,9
167,6
168,8
169,8
170,8
171,10
172,8
173,10
174,9
175,3
176,5
177,3
178,0
179,10
180,8
181,5
182,9
183,3
184,4
185,1
186,3
187,0
188,0
189,3
190,0
191,0
192,3
193,6
194,3
195,5
196,0
197,4
198,7
199,7
200,1
201,0
202,11
203,1
204,1
205,11
206,11
207,3
208,4
209,9
210,1
211,3
212,11
213,7
214,7
215,2
216,6
217,11
218,11
219,11
220,11
221,4
222,11
223,5
224,11
225,7
226,7
227,1
228,2
229,2
230,2
231,1
232,10
233,8
234,11
235,5
236,11
237,9
238,1
239,0
240,3
241,6
242,1
243,1
244,0
245,4
246,5
247,9
248,3
249,6
250,2
251,11
252,2
253,11
254,9
255,0
256,2
257,11
258,11
259,11
260,1
261,5
262,6
263,6
264,5
265,1
266,11
267,11
268,2
269,11
270,11
271,2
272,9
273,10
274,9
275,4
276,9
277,9
278,9
279,4
280,11
281,4
282,6
283,1
284,11
285,9
286,8
287,10
288,5
289,11
290,11
291,4
292,4
293,7
294,11
295,11
296,11
297,5
298,11
299,11
300,7
301,7
302,1
303,1
304,9
305,10
306,2
307,5
308,8
309,5
310,2
311,11
312,4
313,0
314,9
315,0
316,6
317,5
318,5
319,10
320,10
321,1
322,10
323,11
324,11
325,5
326,0
327,1
328,11
329,1
330,10
331,4
332,4
333,8
334,4
335,1
336,7
337,11
338,5
339,10
340,11
341,10
342,9
343,5
344,0
345,5
346,6
347,1
348,0
349,8
350,9
351,4
352,9
353,4
354,0
355,4
356,5
357,2
358,11
359,5
360,2
361,2
362,2
363,5
364,4
