hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,87.400000000000006,0,14.73,72.669999999999987,0,14.729999999999999,0,0,0,0,0,19.999999999999996,20,0.5,-1.4210854715202004e-14
1,82.650000000000006,0,24.129999999999999,58.52000000000001,0,24.129999999999999,0,0,0,0,0,20,20,0.5,0
2,78.849999999999994,0,30.190000000000001,48.659999999999982,0,30.190000000000001,0,0,0,0,0,20,20,0.5,-1.4210854715202004e-14
3,76.950000000000003,0,37.770000000000003,39.18,0,37.770000000000003,0,0,0,0,0,20,20,0.5,0
4,77.900000000000006,0,27.579999999999998,50.32,0,27.579999999999998,0,0,0,0,0,20,20,0.5,0
5,84.549999999999997,0,19.460000000000001,65.090000000000003,0,19.460000000000001,0,0,0,0,0,20,20,0.5,1.4210854715202004e-14
6,97.849999999999994,0,19.09,84.121052631578934,0,19.09,0,0,5.3610526315789464,0,0,20,25.093,0.62732500000000002,-3.5527136788005009e-15
7,115.90000000000001,0,13.26,114.12105263157893,0,13.260000000000002,0,0,11.481052631578933,0,0,25.093,36,0.90000000000000002,0
8,132.05000000000001,0,6.7999999999999998,120,0,6.7999999999999998,0,0,0,5.2500000000000249,0,36,30.473684210528223,0.76184210526320562,0
9,137.75,0,0.89000000000000001,120,0,0.89000000000000012,0,0,0,16.860000000000003,0,30.473684210528223,12.726315789481799,0.31815789473704498,0
10,133.94999999999999,0,0,120,0,0,0,0,0,8.2900000000106111,5.6599999999893864,12.726315789481799,4,0.10000000000000001,2.8421709430404007e-14
11,127.3,0,0,120,0,0,0,0,0,0,7.3000000000000123,4,4,0.10000000000000001,1.4210854715202004e-14
12,121.59999999999999,0,0,120,0,0,0,0,0,0,1.5999999999999881,4,4,0.10000000000000001,0
13,118.75,0,0,120,0,0,0,0,1.2499999999999936,0,0,4,5.1874999999999938,0.12968749999999984,6.4392935428259079e-15
14,120.65000000000001,0.32000000000000001,0,120,0.32000000000000006,0,0,0,0,0.32999999999998564,0,5.1874999999999938,4.8401315789474992,0.12100328947368748,-2.8421709430404007e-14
15,126.34999999999999,0.91000000000000003,0,120,0.91000000000000003,0,0,0,0,0,5.4400000000000093,4.8401315789474992,4.8401315789474992,0.12100328947368748,1.4210854715202004e-14
16,135.84999999999999,0.87,0,120,0.87,0,0,0,0,0.79812500000040365,14.181874999999589,4.8401315789474992,4,0.10000000000000001,0
17,146.30000000000001,0,0,120,0,0,0,0,0,0,26.300000000000004,4,4,0.10000000000000001,0
18,152,0,0,120,0,0,0,0,0,0,32.000000000000007,4,4,0.10000000000000001,0
19,153.90000000000001,0,0,120,0,0,0,0,0,0,33.900000000000013,4,4,0.10000000000000001,0
20,143.44999999999999,0,0,120,0,0,0,0,0,0,23.449999999999982,4,4,0.10000000000000001,0
21,125.40000000000001,0.93000000000000005,0,120,0.93000000000000016,0,0,0,0,0,4.4700000000000193,4,4,0.10000000000000001,1.4210854715202004e-14
22,106.40000000000001,0.87,0.67000000000000004,104.86000000000001,0.87,0.67000000000000004,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
23,94.049999999999997,0,12.880000000000001,98.012105263157878,0,12.880000000000001,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,-1.7763568394002505e-14
