cluster,day,date_UTC,days,weight,distance
0,313,2023-11-10,12,0.03287671232876712,0.33597729265614895
1,99,2023-04-10,10,0.027397260273972601,0.50050012747251127
2,85,2023-03-27,40,0.1095890410958904,0.24830145603429302
3,332,2023-11-29,1,0.0027397260273972603,1.4304896245381992e-17
4,250,2023-09-08,45,0.12328767123287671,0.21180904423502106
5,276,2023-10-04,11,0.030136986301369864,0.35438231654668062
6,179,2023-06-29,5,0.013698630136986301,0.69328644469656264
7,295,2023-10-23,33,0.090410958904109592,0.29406910913222728
8,86,2023-03-28,25,0.068493150684931503,0.21897884047551264
9,178,2023-06-28,6,0.01643835616438356,0.55703960287098675
10,12,2023-01-13,5,0.013698630136986301,0.72150706108810869
11,125,2023-05-06,6,0.01643835616438356,0.6167258063984169
12,90,2023-04-01,12,0.03287671232876712,0.48400068827430404
13,300,2023-10-28,29,0.079452054794520555,0.27921317843733612
14,186,2023-07-06,3,0.00821917808219178,0.81809572789496976
15,43,2023-02-13,5,0.013698630136986301,0.4645336659489816
16,93,2023-04-04,5,0.013698630136986301,0.68429572788378557
17,274,2023-10-02,41,0.11232876712328767,0.20808879172345637
18,63,2023-03-05,29,0.079452054794520555,0.28495530896860577
19,354,2023-12-21,8,0.021917808219178082,0.45083657186529352
20,122,2023-05-03,3,0.00821917808219178,0.99969927089211286
21,343,2023-12-10,1,0.0027397260273972603,6.7386806549951076e-17
22,166,2023-06-16,14,0.038356164383561646,0.45170006223653525
23,211,2023-07-31,16,0.043835616438356165,0.2389768101328035
