hour,load,wind,solar,cluster
0,92,1.5900000000000001,33.039999999999999,0
1,87,2.6099999999999999,57.909999999999997,0
2,83,12.02,77.349999999999994,0
3,81,21.469999999999999,88.030000000000001,0
4,82,17.98,91.569999999999993,0
5,89,12.02,81.799999999999997,0
6,103,8.6799999999999997,63.829999999999998,0
7,122,6.1200000000000001,39.210000000000001,0
8,139,4.0599999999999996,14.25,0
9,145,6.5800000000000001,0,0
10,141,11.890000000000001,0,0
11,134,18.149999999999999,0,0
12,128,19.539999999999999,0,0
13,125,16.09,0,0
14,127,12.09,0,0
15,133,9.8800000000000008,0,0
16,143,8.6300000000000008,0,0
17,154,7.9800000000000004,0,0
18,160,6.2599999999999998,0,0
19,162,3.1899999999999999,0,0
20,151,0.39000000000000001,0,0
21,132,0,0,0
22,112,0,0,0
23,99,0,5.0199999999999996,0
0,92,1.04,19.91,1
1,87,1.72,38.079999999999998,1
2,83,1.8500000000000001,54.469999999999999,1
3,81,3.1200000000000001,56.039999999999999,1
4,82,4.3600000000000003,51.829999999999998,1
5,89,3.8399999999999999,49.950000000000003,1
6,103,1.72,42.359999999999999,1
7,122,0.57999999999999996,27.050000000000001,1
8,139,0,11.69,1
9,145,0,0,1
10,141,0,0,1
11,134,0,0,1
12,128,1.25,0,1
13,125,3.6600000000000001,0,1
14,127,6.1200000000000001,0,1
15,133,6.7300000000000004,0,1
16,143,4.5199999999999996,0,1
17,154,2.0099999999999998,0,1
18,160,0.59999999999999998,0,1
19,162,0.71999999999999997,0,1
20,151,1.25,0,1
21,132,2.04,0,1
22,112,2.9300000000000002,0,1
23,99,3.7000000000000002,5.3799999999999999,1
0,92,7.6200000000000001,50.939999999999998,2
1,87,11.17,65.140000000000001,2
2,83,8.25,98.560000000000002,2
3,81,5.04,109.39,2
4,82,3.02,121.97,2
5,89,2.1499999999999999,135.5,2
6,103,2.4900000000000002,113.38,2
7,122,3.2200000000000002,88.780000000000001,2
8,139,3.6600000000000001,62.259999999999998,2
9,145,3.8100000000000001,31.870000000000001,2
10,141,4.4400000000000004,7.2199999999999998,2
11,134,6.54,0,2
12,128,9.8800000000000008,0,2
13,125,11.82,0,2
14,127,11.24,0,2
15,133,10.92,0,2
16,143,11.109999999999999,0,2
17,154,10.359999999999999,0,2
18,160,9.4700000000000006,0,2
19,162,8.9600000000000009,0,2
20,151,9.2400000000000002,0,2
21,132,8.9000000000000004,0.63,2
22,112,7.4199999999999999,13.93,2
23,99,5.0800000000000001,40.229999999999997,2
