hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,87.400000000000006,0,58.039999999999999,30,0,42.199999999994674,0,15.840000000005332,0,15.200000000005319,0,19.999999999999996,4,0.10000000000000001,-1.4210854715202004e-14
1,82.650000000000006,0,84.950000000000003,30,0,72.650000000000006,0,12.299999999999983,20.000000000000004,0,0,4,23.000000000000004,0.57500000000000007,-3.5527136788005009e-15
2,78.849999999999994,0,103.63,30,0,53.171329639873662,0,50.458670360126334,4.3213296398736771,0,0,23.000000000000004,27.105263157879996,0.67763157894699988,-9.7699626167013776e-15
3,76.950000000000003,0,111.81,30,0,26.950000000000006,0,84.859999999999999,0,20,0,27.105263157879996,6.0526315789399971,0.15131578947349994,0
4,77.900000000000006,0,122.5,30,0,67.900000000000006,0,54.600000000000009,20.000000000000004,0,0,6.0526315789399971,25.052631578940002,0.62631578947350008,-3.5527136788005009e-15
5,84.549999999999997,0,126.56,30,0,34.550000000000004,0,92.009999999999991,0,20,0,25.052631578940002,4,0.10000000000000001,1.4210854715202004e-14
6,97.849999999999994,0,109.09999999999999,30,0,86.769760526317341,0,22.330239473682653,18.919760526317361,0,0,4,21.973772500001491,0.54934431250003724,-1.4210854715202004e-14
7,115.90000000000001,0.02,87.840000000000003,42.804449999998425,0.02,87.840000000000003,0,0,14.76444999999843,0,0,21.973772500001491,36,0.90000000000000002,-1.0658141036401503e-14
8,132.05000000000001,0.46999999999999997,58.109999999999999,72.804449999998425,0.47000000000000003,58.109999999999999,0,0,0,0.66555000000161757,0,36,35.299421052630123,0.88248552631575305,2.8421709430404007e-14
9,137.75,1.2,31.98,102.80444999999843,1.2,31.98,0,0,0,1.7655500000015825,0,35.299421052630123,33.440947368418584,0.83602368421046458,0
10,133.94999999999999,2.46,8.3200000000000003,120,2.46,8.3200000000000003,0,0,0,3.1699999999999826,0,33.440947368418584,30.104105263156608,0.75260263157891516,0
11,127.3,3.8399999999999999,0,120,3.8399999999999999,0,0,0,0,3.4600000000000124,0,30.104105263156608,26.461999999999975,0.66154999999999942,1.4210854715202004e-14
12,121.59999999999999,3.9900000000000002,0,120,3.9900000000000002,0,0,0,2.3900000000000192,0,0,26.461999999999975,28.732499999999995,0.71831249999999991,-1.865174681370263e-14
13,118.75,3.73,0,120,3.73,0,0,0,4.9799999999999853,0,0,28.732499999999995,33.463499999999982,0.8365874999999996,1.865174681370263e-14
14,120.65000000000001,3.3199999999999998,0,120,3.3199999999999998,0,0,0,2.6700000000000235,0,0,33.463499999999982,36,0.90000000000000002,-3.5971225997855072e-14
15,126.34999999999999,3.3500000000000001,0,120,3.3500000000000001,0,0,0,0,3.0000000000000084,0,36,32.842105263158992,0.82105263157897479,1.4210854715202004e-14
16,135.84999999999999,3.52,0,120,3.52,0,0,0,0,12.33,0,32.842105263158992,19.863157894742482,0.49657894736856206,0
17,146.30000000000001,3.6299999999999999,0,120,3.6299999999999999,0,0,0,0,15.070000000010634,7.5999999999893646,19.863157894742482,4,0.10000000000000001,-2.8421709430404007e-14
18,152,3.5600000000000001,0,120,3.5600000000000001,0,0,0,0,0,28.440000000000012,4,4,0.10000000000000001,0
19,153.90000000000001,2.96,0,120,2.96,0,0,0,0,0,30.940000000000019,4,4,0.10000000000000001,0
20,143.44999999999999,2.29,0,120,2.29,0,0,0,0,0,21.159999999999989,4,4,0.10000000000000001,0
21,125.40000000000001,1.6399999999999999,0,120,1.6400000000000001,0,0,0,0,0,3.7600000000000051,4,4,0.10000000000000001,0
22,106.40000000000001,0.76000000000000001,9.6199999999999992,96.02000000000001,0.76000000000000001,9.6199999999999992,0,0,0,0,0,4,4,0.10000000000000001,0
23,94.049999999999997,0.059999999999999998,33.689999999999998,77.142105263157902,0.059999999999999998,33.689999999999998,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,1.0658141036401503e-14
