cluster,day,date_UTC,days,weight,distance,effective_days,effective_probability,repeat_days
0,31,2023-02-01,8,0.021917808219178082,0.63609448750264297,12.05584704945203,0.033029717943704191,12.05584704945203
1,188,2023-07-08,25,0.068493150684931503,0.52488526013215486,12.500000000999998,0.034246575345205477,12.500000000999998
2,250,2023-09-08,59,0.16164383561643836,0.24078680540946029,77.999257070879992,0.2136965947147397,77.999257070879992
3,34,2023-02-04,64,0.17534246575342466,0.27450386093453899,32.444888424170003,0.088890105271698633,32.444888424170003
4,85,2023-03-27,55,0.15068493150684931,0.24275232497886523,55.000000000399993,0.15068493150794518,55.000000000399993
5,43,2023-02-13,7,0.019178082191780823,0.47487916766010174,13.99999999818,0.038356164378575343,13.99999999818
6,274,2023-10-02,63,0.17260273972602741,0.21783550382023539,62.999999997540002,0.17260273971928766,62.999999997540002
7,178,2023-06-28,12,0.03287671232876712,0.45998155918652506,23.999999997999996,0.06575342465205479,23.999999997999996
8,50,2023-02-20,13,0.035616438356164383,0.54991377645814765,6.5000000009999992,0.017808219180821917,6.5000000009999992
9,42,2023-02-12,10,0.027397260273972601,0.74325128751990732,19.999999998970001,0.054794520545123293,19.999999998970001
10,295,2023-10-23,46,0.12602739726027398,0.27509425474441251,46.000000161105923,0.12602739770166008,46.000000161105923
11,122,2023-05-03,3,0.00821917808219178,0.99969927089211286,1.5000072998599998,0.0041096090407123287,1.5000072998599998
