evaluation,generation,energy,power,cost,best_cost
1,0,77.395604855596332,24.749529788842356,486648.79774170846,486648.79774170846
2,0,85.859791991138252,36.381561307671376,487779.95748694957,486648.79774170846
3,0,9.4177347887649532,48.90300582365402,515500.09768275492,486648.79774170846
4,0,76.113970199035293,40.372893737462924,487699.09806652897,486648.79774170846
5,0,12.811363267554587,25.26736720530052,511061.29569034663,486648.79774170846
6,0,37.079802423258123,46.70442449818708,500068.14331456856,486648.79774170846
7,0,64.386512008066461,42.024272597187348,488618.13625723898,486648.79774170846
8,0,44.341419882733113,15.22574248031496,494557.06283379946,486648.79774170846
9,0,55.458478701583481,7.8717765246878901,501726.72331312246,486648.79774170846
10,0,82.763117199258204,33.424897960492913,487447.70613902464,486648.79774170846
11,0,75.808774008537384,20.953668565844076,486371.88052720687,486371.88052720687
12,0,97.069802439490331,45.190450459498898,488861.10213237186,486371.88052720687
13,1,82.763117199258204,33.424897960492913,487447.70613902464,486371.88052720687
14,1,82.763117199258204,32.786899398046813,487406.74739816715,486371.88052720687
15,1,82.550389797667876,24.442365829642132,486869.39931221202,486371.88052720687
16,1,80.046406488241786,33.732061919685542,487364.42334074149,486371.88052720687
17,1,85.859791991138252,36.381561307671376,487779.95748694957,486371.88052720687
18,1,83.450764287721668,30.375086811174484,487283.54149099701,486371.88052720687
19,1,37.079802423258123,46.70442449818708,500068.14331456856,486371.88052720687
20,1,31.915258060187391,13.461279097221198,500064.87518894894,486371.88052720687
21,1,76.108584604267008,40.372893737462924,487698.89785304281,486371.88052720687
22,1,75.814159603305683,23.023765192771084,486483.3417003958,486371.88052720687
23,1,78.450718387766273,24.704314744183932,486694.90045836783,486371.88052720687
24,2,34.099913450072627,30.033915035388119,499715.57128379645,486371.88052720687
25,2,80.365571492453185,13.461279097221198,493058.29032826546,486371.88052720687
26,2,76.108584604267008,42.509098052859173,487853.58147911815,486371.88052720687
27,2,82.550389797667876,24.880181333610828,486892.92042392376,486371.88052720687
28,2,83.898629863508461,33.059681555613892,487476.48962776829,486371.88052720687
29,2,82.550389797667876,28.400941194505535,487115.38937463326,486371.88052720687
30,2,80.052067158185508,28.956912282786966,487036.16721654945,486371.88052720687
31,2,78.316351087613484,32.40741280930601,487204.18874072976,486371.88052720687
32,2,78.279944396715621,31.210728723294146,487116.18280000973,486371.88052720687
33,2,83.621538278772334,24.683974405746131,486931.64883940161,486371.88052720687
34,2,82.574940269299859,29.230144442361045,487169.75246947893,486371.88052720687
35,3,79.392163833592591,28.956912282786966,487005.81377877342,486371.88052720687
36,3,80.052067158185508,28.956912282786966,487036.16721654945,486371.88052720687
37,3,83.621538278772334,21.251246268897503,486747.22964626766,486371.88052720687
38,3,83.621538278772334,28.905190954056305,487197.03099994961,486371.88052720687
39,3,73.773060531765594,29.230144442361045,486805.22094632307,486371.88052720687
40,3,82.364864022623507,20.953668565844076,486673.43965400936,486371.88052720687
41,3,84.011148383571822,33.059681555613892,487481.66511905042,486371.88052720687
42,3,80.040293290575818,20.953668565844076,486566.51685114292,486371.88052720687
43,3,78.316351087613484,32.388725882530998,487202.83561098826,486371.88052720687
44,3,86.765275894919057,31.479384807060352,487506.89300513052,486371.88052720687
45,3,79.724637688948377,30.727292026389293,487134.88445156033,486371.88052720687
46,4,75.808774008537384,20.937752013958466,486371.02542958769,486371.02542958769
47,4,78.021358847425262,29.742330701104237,487000.24225291947,486371.02542958769
48,4,84.43808220583449,19.220868155733722,487461.73094035767,486371.02542958769
49,4,83.705793077565076,28.975632247892971,487205.42869703239,486371.02542958769
50,4,82.091525936429136,19.994342277105371,486969.94007395761,486371.02542958769
51,4,74.046398617959355,29.230144442361045,486815.3824925333,486371.02542958769
52,4,75.862114564746562,33.912836590226455,487221.95916778175,486371.02542958769
53,4,86.750839210839118,24.147096571147042,487046.74353575852,486371.02542958769
54,4,78.316351087613484,32.548871421571917,487214.4318298049,486371.02542958769
55,4,80.052067158185508,28.956912282786966,487036.16721654945,486371.02542958769
56,4,81.249715227370018,30.206768044139437,487171.49442658573,486371.02542958769
57,5,76.03892105246662,29.742330701104237,486926.54365666676,486371.02542958769
58,5,81.249715227370018,30.206768044139437,487171.49442658573,486371.02542958769
59,5,78.101755287574292,30.295518018196521,487043.28762137558,486371.02542958769
60,5,76.77800093092938,33.424667616691217,487220.65936288948,486371.02542958769
61,5,75.808774008537384,20.937752013958466,486371.02542958769,486371.02542958769
62,5,82.177921051051143,30.769778342732177,487250.33350379986,486371.02542958769
63,5,76.854255681694909,29.742330701104237,486956.85432659183,486371.02542958769
64,5,71.345904414619511,21.743447080792954,486209.03273188113,486209.03273188113
65,5,75.566772527241213,30.106619686992797,486935.36953305517,486209.03273188113
66,5,80.878148090614886,20.094490634297539,486864.42733588588,486209.03273188113
67,5,74.109778034026363,31.744723529588907,486999.82060246973,486209.03273188113
68,6,80.46688683545112,19.055518208839217,487361.12792559003,486209.03273188113
69,6,76.03892105246662,29.713530543305936,486924.45822279312,486209.03273188113
