scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E000_P00,0,0,521956.5,427374.5,0,94582,0,78.2654055445,21.7345944555,24,1,1221.07,472.91,0,0,0,24,0,0.0963422876092,0.0027397260274,0,0,0,0,0,0,521956.5,0,Optimal,,0,521956.5,1.42108547152e-14
E010_P05,10,5,514105.769814,419691.873961,4966.31690502,89447.5789474,0,79.445276549,20.554723451,24,1,1199.11963989,447.237894737,0,34.45,0,24,14500000,0.0963422876092,0.0027397260274,1396963.17033,290000,3827.29635708,794.520547945,344.5,1139.02054795,510278.473457,0,Optimal,70.8333333333,38.1717451524,509483.952909,1.84252613167e-12
E010_P10,10,10,513220.176968,418724.434211,5902.92538865,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,17000000,0.0963422876092,0.0027397260274,1637818.88936,340000,4487.17503933,931.506849315,484.2435,1415.75034932,508733.001928,0,Optimal,75,53.6557894737,507801.495079,2.80131473573e-12
E010_P15,10,15,514017.041951,418724.434211,6699.79037227,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,19500000,0.0963422876092,0.0027397260274,1878674.60838,390000,5147.05372159,1068.49315068,484.2435,1552.73665069,508869.98823,0,Optimal,66.6666666667,53.6557894737,507801.495079,2.79776202206e-12
E010_P20,10,20,514813.906935,418724.434211,7496.6553559,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,22000000,0.0963422876092,0.0027397260274,2119530.3274,440000,5806.93240384,1205.47945205,484.2435,1689.72295205,509006.974531,0,Optimal,75,53.6557894737,507801.495079,2.79953837889e-12
E010_P25,10,25,515610.771918,418724.434211,8293.52033952,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,24500000,0.0963422876092,0.0027397260274,2360386.04643,490000,6466.8110861,1342.46575342,484.2435,1826.70925342,509143.960832,0,Optimal,66.6666666667,53.6557894737,507801.495079,2.79942735659e-12
E010_P30,10,30,516407.636902,418724.434211,9090.38532315,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,27000000,0.0963422876092,0.0027397260274,2601241.76545,540000,7126.68976836,1479.45205479,484.2435,1963.69555479,509280.947134,0,Optimal,75,53.6557894737,507801.495079,2.80131473573e-12
E010_P35,10,35,517204.501886,418724.434211,9887.25030677,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,29500000,0.0963422876092,0.0027397260274,2842097.48447,590000,7786.56845061,1616.43835616,484.2435,2100.68185616,509417.933435,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.79942735659e-12
E010_P40,10,40,518001.366869,418724.434211,10684.1152904,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,32000000,0.0963422876092,0.0027397260274,3082953.2035,640000,8446.44713287,1753.42465753,484.2435,2237.66815753,509554.919736,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.81730194729e-12
E010_P45,10,45,518798.231853,418724.434211,11480.980274,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,34500000,0.0963422876092,0.0027397260274,3323808.92252,690000,9106.32581512,1890.4109589,484.2435,2374.6544589,509691.906038,0,Optimal,75,53.6557894737,507801.495079,2.79953837889e-12
E010_P50,10,50,519595.096837,418724.434211,12277.8452576,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,37000000,0.0963422876092,0.0027397260274,3564664.64154,740000,9766.20449738,2027.39726027,484.2435,2511.64076027,509828.892339,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.79953837889e-12
E020_P05,20,5,511539.656292,415656.5,8834.14382642,87049.0124654,0,79.9964582724,20.0035417276,24,1,1187.59,435.245062327,0,38.7375,0,24,26500000,0.0963422876092,0.0027397260274,2553070.62164,530000,6994.7140319,1452.05479452,387.375,1839.42979452,504544.94226,0,Optimal,79.1666666667,42.9224376731,503092.887465,1.8438583993e-12
E020_P10,20,10,509304.946021,413930.873961,9906.60706005,85467.465,0,80.3598920417,19.6401079583,24,1,1182.65963989,427.337325,0,66.297325,0,24,29000000,0.0963422876092,0.0027397260274,2793926.34067,580000,7654.59271416,1589.04109589,662.97325,2252.01434589,501650.353307,0,Optimal,79.1666666667,73.4596398892,500061.312211,3.68594044176e-12
