scenario,energy_capacity_MWh,power_capacity_MW,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,renewable_utilization_pct,curtailment_rate_pct,num_steps,time_step_hours,thermal_generation_MWh,curtailment_MWh,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,solver_status,storage_utilization_pct,storage_charge_MWh,operating_objective_CNY,max_constraint_residual
E000_P00,0,0,521956.5,427374.5,0,94582,0,78.2654055445,21.7345944555,24,1,1221.07,472.91,0,0,0,24,0,0.0963422876092,0.0027397260274,0,0,0,0,0,0,521956.5,0,Optimal,,0,521956.5,1.42108547152e-14
E010_P05,10,5,512512.039846,419691.873961,3372.58693777,89447.5789474,0,79.445276549,20.554723451,24,1,1199.11963989,447.237894737,0,34.45,0,24,9500000,0.0963422876092,0.0027397260274,915251.732288,190000,2507.53899257,520.547945205,344.5,865.047945206,510004.500854,0,Optimal,70.8333333333,38.1717451524,509483.952909,1.84252613167e-12
E010_P10,10,10,511307.701007,418724.434211,3990.44942795,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,11000000,0.0963422876092,0.0027397260274,1059765.1637,220000,2903.46620192,602.739726027,484.2435,1086.98322603,508404.234805,0,Optimal,75,53.6557894737,507801.495079,2.80131473573e-12
E010_P15,10,15,511785.819997,418724.434211,4468.56841812,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,12500000,0.0963422876092,0.0027397260274,1204278.59512,250000,3299.39341128,684.931506849,484.2435,1169.17500685,508486.426586,0,Optimal,66.6666666667,53.6557894737,507801.495079,2.79776202206e-12
E010_P20,10,20,512263.938987,418724.434211,4946.6874083,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,14000000,0.0963422876092,0.0027397260274,1348792.02653,280000,3695.32062063,767.123287671,484.2435,1251.36678767,508568.618367,0,Optimal,75,53.6557894737,507801.495079,2.79953837889e-12
E010_P25,10,25,512742.057977,418724.434211,5424.80639847,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,15500000,0.0963422876092,0.0027397260274,1493305.45794,310000,4091.24782998,849.315068493,484.2435,1333.55856849,508650.810147,0,Optimal,66.6666666667,53.6557894737,507801.495079,2.79942735659e-12
E010_P30,10,30,513220.176968,418724.434211,5902.92538865,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,17000000,0.0963422876092,0.0027397260274,1637818.88936,340000,4487.17503933,931.506849315,484.2435,1415.75034932,508733.001928,0,Optimal,75,53.6557894737,507801.495079,2.80131473573e-12
E010_P35,10,35,513698.295958,418724.434211,6381.04437882,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,18500000,0.0963422876092,0.0027397260274,1782332.32077,370000,4883.10224869,1013.69863014,484.2435,1497.94213014,508815.193709,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.79942735659e-12
E010_P40,10,40,514176.414948,418724.434211,6859.163369,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,20000000,0.0963422876092,0.0027397260274,1926845.75218,400000,5279.02945804,1095.89041096,484.2435,1580.13391096,508897.38549,0,Optimal,70.8333333333,53.6557894737,507801.495079,2.81730194729e-12
E010_P45,10,45,514654.533938,418724.434211,7337.28235917,88592.8173684,0,79.6416976045,20.3583023955,24,1,1196.35552632,442.964086842,0,48.42435,0,24,21500000,0.0963422876092,0.0027397260274,2071359.1836,430000,5674.95666739,1178.08219178,484.2435,1662.32569178,508979.577271,0,Optimal,75,53.6557894737,507801.495079,2.79953837889e-12
