hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,61.319999999999993,0,0,0,0,0.68000000000000715,0,45,44.284210526316038,0.49204678362573373,0
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3399999999999981,0,0,44.284210526316038,51.257210526316037,0.56952456140351149,5.3290705182007514e-15
2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999998,0,0,51.257210526316037,61.099210526316035,0.67888011695906703,1.7763568394002505e-15
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000006,0,0,61.099210526316035,70.817710526316034,0.78686345029240035,-1.7763568394002505e-15
4,82,58,0,30,58,0,0,0,6.0000000000000053,0,0,70.817710526316034,76.517710526316037,0.8501967836257337,-5.3290705182007514e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999931,0,76.517710526316037,72.622973684212141,0.80692192982457933,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.649999999999999,0,72.622973684212141,54.044026315797595,0.60048918128663997,0
7,122,54.100000000000001,17.25,30,54.100000000000001,4.288174999977298,0,12.961825000022703,0,33.611825000022705,0,54.044026315797595,18.663157894733452,0.2073684210525939,1.4210854715202004e-14
8,139,50.340000000000003,49.479999999999997,30,50.339999999999996,49.480000000000004,0,0,0,9.1799999999999908,0,18.663157894733452,9,0.10000000000000001,-2.8421709430404007e-14
9,145,46.689999999999998,86.150000000000006,30,46.690000000000005,86.150000000000006,0,0,17.840000000000014,0,0,9,25.948000000000015,0.2883111111111113,-1.0658141036401503e-14
10,141,44.890000000000001,119.16,30,34.292465373926262,119.16,10.597534626073738,0,42.452465373926273,0,0,25.948000000000015,66.277842105229979,0.73642046783588866,-1.4210854715202004e-14
11,134,43.740000000000002,141.91,30,43.739999999999995,15.260000000000002,0,126.64999999999999,0,45,0,66.277842105229979,18.909421052614981,0.21010467836238866,0
12,128,41.520000000000003,150,30,41.520000000000003,101.48,0,48.519999999999996,45,0,0,18.909421052614981,61.659421052614988,0.68510467836238875,0
13,125,39.090000000000003,141.91,30,39.089999999999996,10.909999999999993,0,131,0,45.000000000000007,0,61.659421052614988,14.290999999999981,0.15878888888888867,0
14,127,39.299999999999997,119.16,30,22.839999999999993,119.16,16.460000000000004,0,45.000000000000007,0,0,14.290999999999981,57.04099999999999,0.63378888888888874,-7.1054273576010019e-15
15,133,42.07,86.150000000000006,30,42.07,86.150000000000006,0,0,25.22000000000001,0,0,57.04099999999999,81.000000000000014,0.90000000000000013,-1.0658141036401503e-14
16,143,42.859999999999999,49.479999999999997,50.660000000000025,42.859999999999999,49.480000000000004,0,0,0,0,0,81.000000000000014,81,0.90000000000000002,2.8421709430404007e-14
17,154,41.299999999999997,17.25,80.660000000000025,41.299999999999997,17.25,0,0,0,14.78999999999999,0,81,65.431578947373879,0.72701754385970974,2.8421709430404007e-14
18,160,42.140000000000001,0,110.66,42.140000000000001,0,0,0,0,7.1999999999999593,0,65.431578947373879,57.852631578955545,0.64280701754395053,-2.8421709430404007e-14
19,162,43.409999999999997,0,106.37999999998797,43.410000000000004,0,0,0,0,12.210000000012023,0,57.852631578955545,44.999999999999972,0.49999999999999967,0
20,151,46.390000000000001,0,104.60999999999999,46.390000000000001,0,0,0,0,0,0,44.999999999999972,44.999999999999957,0.4999999999999995,0
21,132,52.109999999999999,0,79.889999999999986,52.109999999999999,0,0,0,0,0,0,44.999999999999957,45,0.5,0
22,112,54.149999999999999,0,57.849999999999994,54.149999999999999,0,0,0,0,0,0,45,44.999999999999993,0.49999999999999994,0
23,99,54.939999999999998,0,44.059999999999995,54.939999999999998,0,0,0,0,0,0,44.999999999999993,45,0.5,0
