hour,load,wind,solar,renewable,renewable_used,curtailment,thermal,unserved,curtailment_MWh,unserved_MWh,balance_error_MW
0,92,61.32000000,0.00000000,61.32000000,61.32000000,0.00000000,30.68000000,0.00000000,0.00000000,0.00000000,0.00000000
1,87,64.34000000,0.00000000,64.34000000,64.34000000,0.00000000,22.66000000,0.00000000,0.00000000,0.00000000,0.00000000
2,83,63.36000000,0.00000000,63.36000000,63.36000000,0.00000000,19.64000000,0.00000000,0.00000000,0.00000000,0.00000000
3,81,61.23000000,0.00000000,61.23000000,61.23000000,0.00000000,19.77000000,0.00000000,0.00000000,0.00000000,0.00000000
4,82,58.00000000,0.00000000,58.00000000,58.00000000,0.00000000,24.00000000,0.00000000,0.00000000,0.00000000,0.00000000
5,89,55.30000000,0.00000000,55.30000000,55.30000000,0.00000000,33.70000000,0.00000000,0.00000000,0.00000000,0.00000000
6,103,55.35000000,0.00000000,55.35000000,55.35000000,0.00000000,47.65000000,0.00000000,0.00000000,0.00000000,0.00000000
7,122,54.10000000,17.25000000,71.35000000,71.35000000,0.00000000,50.65000000,0.00000000,0.00000000,0.00000000,0.00000000
8,139,50.34000000,49.48000000,99.82000000,99.82000000,0.00000000,39.18000000,0.00000000,0.00000000,0.00000000,0.00000000
9,145,46.69000000,86.15000000,132.84000000,132.84000000,0.00000000,12.16000000,0.00000000,0.00000000,0.00000000,0.00000000
10,141,44.89000000,119.16000000,164.05000000,141.00000000,23.05000000,0.00000000,0.00000000,23.05000000,0.00000000,0.00000000
11,134,43.74000000,141.91000000,185.65000000,134.00000000,51.65000000,0.00000000,0.00000000,51.65000000,0.00000000,0.00000000
12,128,41.52000000,150.00000000,191.52000000,128.00000000,63.52000000,0.00000000,0.00000000,63.52000000,0.00000000,0.00000000
13,125,39.09000000,141.91000000,181.00000000,125.00000000,56.00000000,0.00000000,0.00000000,56.00000000,0.00000000,0.00000000
14,127,39.30000000,119.16000000,158.46000000,127.00000000,31.46000000,0.00000000,0.00000000,31.46000000,0.00000000,0.00000000
15,133,42.07000000,86.15000000,128.22000000,128.22000000,0.00000000,4.78000000,0.00000000,0.00000000,0.00000000,0.00000000
16,143,42.86000000,49.48000000,92.34000000,92.34000000,0.00000000,50.66000000,0.00000000,0.00000000,0.00000000,0.00000000
17,154,41.30000000,17.25000000,58.55000000,58.55000000,0.00000000,95.45000000,0.00000000,0.00000000,0.00000000,0.00000000
18,160,42.14000000,0.00000000,42.14000000,42.14000000,0.00000000,117.86000000,0.00000000,0.00000000,0.00000000,0.00000000
19,162,43.41000000,0.00000000,43.41000000,43.41000000,0.00000000,118.59000000,0.00000000,0.00000000,0.00000000,0.00000000
20,151,46.39000000,0.00000000,46.39000000,46.39000000,0.00000000,104.61000000,0.00000000,0.00000000,0.00000000,0.00000000
21,132,52.11000000,0.00000000,52.11000000,52.11000000,0.00000000,79.89000000,0.00000000,0.00000000,0.00000000,0.00000000
22,112,54.15000000,0.00000000,54.15000000,54.15000000,0.00000000,57.85000000,0.00000000,0.00000000,0.00000000,0.00000000
23,99,54.94000000,0.00000000,54.94000000,54.94000000,0.00000000,44.06000000,0.00000000,0.00000000,0.00000000,0.00000000
