hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,15.48,61.32,0,0,0,0,15.199999999999999,0,20,4,0.10000000000000001,0
1,87,64.340000000000003,0,22.66,64.340000000000003,0,0,0,0,0,0,4,4,0.10000000000000001,0
2,83,63.359999999999999,0,19.640000000000001,63.359999999999999,0,0,0,0,0,0,4,4,0.10000000000000001,0
3,81,61.229999999999997,0,19.77,61.229999999999997,0,0,0,0,0,0,4,4,0.10000000000000001,0
4,82,58,0,24,58,0,0,0,0,0,0,4,4,0.10000000000000001,0
5,89,55.299999999999997,0,33.700000000000003,55.299999999999997,0,0,0,0,0,0,4,4,0.10000000000000001,0
6,103,55.350000000000001,0,47.649999999999999,55.350000000000001,0,0,0,0,0,0,4,4,0.10000000000000001,0
7,122,54.100000000000001,17.25,50.649999999999999,54.100000000000001,17.25,0,0,0,0,0,4,4,0.10000000000000001,0
8,139,50.340000000000003,49.479999999999997,39.18,50.340000000000003,49.479999999999997,0,0,0,0,0,4,4,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,12.16,46.689999999999998,86.150000000000006,0,0,0,0,0,4,4,0.10000000000000001,0
10,141,44.890000000000001,119.16,0,41.840000000000003,119.16,3.0499999999999998,0,20,0,0,4,23,0.57499999999999996,0
11,134,43.740000000000002,141.91,0,43.740000000000002,72.209999999999994,0,69.700000000000003,0,18.050000000000001,0,23,4,0.10000000000000001,0
12,128,41.520000000000003,150,0,41.520000000000003,106.48,0,43.520000000000003,20,0,0,4,23,0.57499999999999996,0
13,125,39.090000000000003,141.91,0,39.090000000000003,80.209999999999994,0,61.700000000000003,0,5.7000000000000002,0,23,17,0.42499999999999999,0
14,127,39.299999999999997,119.16,0,27.84,119.16,11.460000000000001,0,20,0,0,17,36,0.90000000000000002,0
15,133,42.07,86.150000000000006,0,42.07,86.150000000000006,0,0,0,4.7800000000000002,0,36,30.968420999999999,0.77421052499999998,0
16,143,42.859999999999999,49.479999999999997,50.659999999999997,42.859999999999999,49.479999999999997,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
17,154,41.299999999999997,17.25,95.450000000000003,41.299999999999997,17.25,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
18,160,42.140000000000001,0,117.86,42.140000000000001,0,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
19,162,43.409999999999997,0,118.59,43.409999999999997,0,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
20,151,46.390000000000001,0,104.61,46.390000000000001,0,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
21,132,52.109999999999999,0,79.890000000000001,52.109999999999999,0,0,0,0,0,0,30.968420999999999,30.968420999999999,0.77421052499999998,0
22,112,54.149999999999999,0,52.229999999999997,54.149999999999999,0,0,0,0,5.6200000000000001,0,30.968420999999999,25.052631999999999,0.62631579999999998,0
23,99,54.939999999999998,0,24.059999999999999,54.939999999999998,0,0,0,0,20,0,25.052631999999999,4,0.10000000000000001,0
