hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,46.799999999999997,0,14.52,0,0,15.199999999999999,0,20,4,0.10000000000000001,0
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3399999999999999,0,0,4,10.973000000000001,0.27432500000000004,3.5527136788005009e-15
2,83,63.359999999999999,0,30,63.114210999999997,0,0.24578947000000001,0,10.114210999999999,0,0,10.973000000000001,20.581499999999998,0.51453749999999998,-1.7763568394002505e-15
3,81,61.229999999999997,0,30,61.229999999999997,0,0,0,10.23,0,0,20.581499999999998,30.300000000000001,0.75750000000000006,-1.0658141036401503e-14
4,82,58,0,30,58,0,0,0,6,0,0,30.300000000000001,36,0.90000000000000002,0
5,89,55.299999999999997,0,30,55.299999999999997,0,0,0,0,3.7000000000000002,0,36,32.105263000000001,0.80263157500000004,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.649999999999999,0,32.105263000000001,13.526316,0.33815790000000001,0
7,122,54.100000000000001,17.25,50.649999999999999,54.100000000000001,17.25,0,0,0,0,0,13.526316,13.526316,0.33815790000000001,0
8,139,50.340000000000003,49.479999999999997,30.129999999999999,50.340000000000003,49.479999999999997,0,0,0,9.0500000000000007,0,13.526316,4,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,30,33.171329999999998,86.150000000000006,13.51867,0,4.3213296000000003,0,0,4,8.1052631999999996,0.20263157999999998,3.9999998868722741e-07
10,141,44.890000000000001,119.16,30,11.84,119.16,33.049999999999997,0,20,0,0,8.1052631999999996,27.105263000000001,0.67763157500000004,0
11,134,43.740000000000002,141.91,30,43.740000000000002,40.259999999999998,0,101.65000000000001,0,20,0,27.105263000000001,6.0526315999999998,0.15131579000000001,0
12,128,41.520000000000003,150,30,41.520000000000003,76.480000000000004,0,73.519999999999996,20,0,0,6.0526315999999998,25.052631999999999,0.62631579999999998,0
13,125,39.090000000000003,141.91,30,39.090000000000003,35.909999999999997,0,106,0,20,0,25.052631999999999,4,0.10000000000000001,0
14,127,39.299999999999997,119.16,30,39.299999999999997,71.384210999999993,0,47.775789000000003,13.684210999999999,0,0,4,17,0.42499999999999999,5.3290705182007514e-15
15,133,42.07,86.150000000000006,30,36.850000000000001,86.150000000000006,5.2199999999999998,0,20,0,0,17,36,0.90000000000000002,0
16,143,42.859999999999999,49.479999999999997,50.659999999999997,42.859999999999999,49.479999999999997,0,0,0,0,0,36,36,0.90000000000000002,0
17,154,41.299999999999997,17.25,95.450000000000003,41.299999999999997,17.25,0,0,0,0,0,36,36,0.90000000000000002,0
18,160,42.140000000000001,0,117.86,42.140000000000001,0,0,0,0,9.9428675999999994e-15,0,36,36,0.90000000000000002,0
19,162,43.409999999999997,0,118.59,43.409999999999997,0,0,0,0,0,0,36,36,0.90000000000000002,0
20,151,46.390000000000001,0,104.61,46.390000000000001,0,0,0,0,0,0,36,36,0.90000000000000002,0
21,132,52.109999999999999,0,79.890000000000001,52.109999999999999,0,0,0,0,4.9714337999999997e-15,0,36,36,0.90000000000000002,0
22,112,54.149999999999999,0,41.509999999999998,54.149999999999999,0,0,0,0,16.34,0,36,18.800000000000001,0.47000000000000003,0
23,99,54.939999999999998,0,30,54.939999999999998,0,0,0,0,14.06,0,18.800000000000001,4,0.10000000000000001,0
