hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30,42,0,19.319999999999993,0,0,20,0,20.000000000000004,9.4736842105260006,0.23684210526315003,0
0.5,92,61.32,0,30,51.600000000000904,0,9.7199999999990894,0,0,10.399999999999089,0,9.4736842105260006,4,0.10000000000000001,0
1,87,64.340000000000003,0,30,64.340000000000003,0,0,0,7.3399999999999963,0,0,4,7.4864999999999986,0.18716249999999995,7.1054273576010019e-15
1.5,87,64.340000000000003,0,30,63.848421052631551,0,0.49157894736845265,0,6.8484210526315605,0,0,7.4864999999999986,10.739499999999991,0.26848749999999977,-9.7699626167013776e-15
2,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999994,0,0,10.739499999999991,15.660499999999988,0.39151249999999971,5.3290705182007514e-15
2.5,83,63.359999999999999,0,30,63.359999999999999,0,0,0,10.359999999999994,0,0,15.660499999999988,20.581499999999984,0.51453749999999965,5.3290705182007514e-15
3,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000008,0,0,20.581499999999984,25.440749999999991,0.63601874999999974,-3.5527136788005009e-15
3.5,81,61.229999999999997,0,30,61.230000000000004,0,0,0,10.230000000000008,0,0,25.440749999999991,30.299999999999994,0.75749999999999984,-3.5527136788005009e-15
4,82,58,0,30,58,0,0,0,6.0000000000000027,0,0,30.299999999999994,33.149999999999999,0.82874999999999999,-2.6645352591003757e-15
4.5,82,58,0,30,58,0,0,0,6.0000000000000027,0,0,33.149999999999999,36,0.90000000000000002,-2.6645352591003757e-15
5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999935,0,36,34.05263157894732,0.85131578947368303,0
5.5,89,55.299999999999997,0,30,55.300000000000004,0,0,0,0,3.6999999999999935,0,34.05263157894732,32.105263157894633,0.80263157894736581,0
6,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.650000000000016,0,32.105263157894633,22.815789473683818,0.57039473684209541,1.4210854715202004e-14
6.5,103,55.350000000000001,0,30,55.350000000000001,0,0,0,0,17.650000000000016,0,22.815789473683818,13.526315789473006,0.33815789473682517,1.4210854715202004e-14
7,122,54.100000000000001,17.25,45,54.100000000000001,17.25,0,0,0,5.6499999999999977,0,13.526315789473006,10.552631578946603,0.26381578947366507,-1.4210854715202004e-14
7.5,122,54.100000000000001,17.25,50.649999999999991,54.100000000000001,17.25,0,0,0,0,0,10.552631578946603,10.552631578946603,0.26381578947366507,-1.4210854715202004e-14
8,139,50.340000000000003,49.479999999999997,35.649999999999991,50.339999999999996,49.480000000000004,0,0,0,3.5299999999999914,0,10.552631578946603,8.6947368421044491,0.21736842105261123,-2.8421709430404007e-14
8.5,139,50.340000000000003,49.479999999999997,30.260000000001803,50.339999999999996,49.480000000000004,0,0,0,8.9199999999981863,0,8.6947368421044491,4,0.10000000000000001,0
