hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,0,0,91.999999999999986,0,0,0,0,0,0,0,19.999999999999996,20,0.5,-1.4210854715202004e-14
1,87,0,0,87,0,0,0,0,0,0,0,20,20,0.5,0
2,83,0,0,83,0,0,0,0,0,0,0,20,20,0.5,0
3,81,0,0,80.999999999999986,0,0,0,0,0,0,0,20,20,0.5,-1.4210854715202004e-14
4,82,0,0,82,0,0,0,0,0,0,0,20,20,0.5,0
5,89,0,0,89.421052631578931,0,0,0,0,0.42105263157892936,0,0,20,20.399999999999981,0.50999999999999956,1.5543122344752192e-15
6,103,0,0,119.42105263157893,0,0,0,0,16.421052631578938,0,0,20.399999999999981,36,0.90000000000000002,-7.1054273576010019e-15
7,122,0,0,120,0,0,0,0,0,2.0000000000000058,0,36,33.894736842105992,0.84736842105264976,0
8,139,0,0,120,0,0,0,0,0,18.999999999999993,0,33.894736842105992,13.894736842113003,0.34736842105282506,0
9,145,0,0,120,0,0,0,0,0,0,25.000000000000011,13.894736842113003,13.894736842113003,0.34736842105282506,0
10,141,0,0,120,0,0,0,0,0,0,20.999999999999996,13.894736842113003,13.894736842113003,0.34736842105282506,0
11,134,0,0,120,0,0,0,0,0,0,13.999999999999998,13.894736842113003,13.894736842113003,0.34736842105282506,0
12,128,0,0,120,0,0,0,0,0,0,8.0000000000000018,13.894736842113003,13.894736842113003,0.34736842105282506,0
13,125,0,0,120,0,0,0,0,0,0,4.9999999999999938,13.894736842113003,13.894736842113003,0.34736842105282506,0
14,127,0,0,120,0,0,0,0,0,0,6.9999999999999991,13.894736842113003,13.894736842113003,0.34736842105282506,0
15,133,0,0,120,0,0,0,0,0,0,12.999999999999996,13.894736842113003,13.894736842113003,0.34736842105282506,0
16,143,0,0,120,0,0,0,0,0,9.4000000000106443,13.599999999989359,13.894736842113003,4,0.10000000000000001,0
17,154,0,0,120,0,0,0,0,0,0,33.999999999999993,4,4,0.10000000000000001,0
18,160,0,0,120,0,0,0,0,0,0,40.000000000000007,4,4,0.10000000000000001,0
19,162,0,0,120,0,0,0,0,0,0,41.999999999999993,4,4,0.10000000000000001,0
20,151,0,0,120,0,0,0,0,0,0,31.000000000000007,4,4,0.10000000000000001,0
21,132,0,0,120,0,0,0,0,0,0,11.999999999999993,4,4,0.10000000000000001,0
22,112,0,0,112.00000000000001,0,0,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
23,99,0,0,115.84210526315788,0,0,0,0,16.842105263157894,0,0,4,19.999999999999996,0.49999999999999989,-1.7763568394002505e-14
