hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,61.32,0,30.680000000000007,61.319999999999993,0,0,0,0,0,0,19.999999999999996,20,0.5,0
1,87,64.340000000000003,0,22.66,64.340000000000003,0,0,0,0,0,0,20,20,0.5,0
2,83,63.359999999999999,0,19.640000000000008,63.359999999999999,0,0,0,0,0,0,20,20,0.5,0
3,81,61.229999999999997,0,4.5699999999946801,61.230000000000004,0,0,0,0,15.200000000005318,0,20,4,0.10000000000000001,0
4,82,58,0,23.999999999999996,58,0,0,0,0,0,0,4,4,0.10000000000000001,0
5,89,55.299999999999997,0,33.699999999999989,55.300000000000004,0,0,0,0,0,0,4,4,0.10000000000000001,0
6,103,55.350000000000001,0,47.650000000000006,55.350000000000001,0,0,0,0,0,0,4,3.9999999999999991,0.099999999999999978,0
7,122,54.100000000000001,17.25,50.650000000000006,54.100000000000001,17.25,0,0,0,0,0,3.9999999999999991,3.9999999999999991,0.099999999999999978,0
8,139,50.340000000000003,49.479999999999997,39.179999999999993,50.339999999999996,49.480000000000004,0,0,0,-2.4857169049424193e-15,0,3.9999999999999991,4,0.10000000000000001,0
9,145,46.689999999999998,86.150000000000006,12.159999999999993,46.690000000000005,86.150000000000006,0,0,0,0,0,4,4,0.10000000000000001,0
10,141,44.890000000000001,119.16,0,41.839999999999982,119.16,3.0500000000000185,0,20.000000000000004,0,0,4,23.000000000000004,0.57500000000000007,-3.1974423109204508e-14
11,134,43.740000000000002,141.91,0,43.739999999999995,72.209999999993684,0,69.700000000006312,0,18.050000000006321,0,23.000000000000004,4,0.10000000000000001,0
12,128,41.520000000000003,150,0,41.520000000000003,106.47999999999999,0,43.52000000000001,20.000000000000004,0,0,4,23.000000000000004,0.57500000000000007,-3.5527136788005009e-15
13,125,39.090000000000003,141.91,0,39.089999999999996,80.209999999998004,0,61.700000000001992,0,5.7000000000020004,0,23.000000000000004,17,0.42499999999999999,0
14,127,39.299999999999997,119.16,0,27.839999999999986,119.16,11.460000000000012,0,20,0,0,17,36,0.90000000000000002,-2.8421709430404007e-14
15,133,42.07,86.150000000000006,0,42.07,86.150000000000006,0,0,0,4.779999999999986,0,36,30.968421052633357,0.77421052631583387,-2.8421709430404007e-14
16,143,42.859999999999999,49.479999999999997,45.039999999989341,42.859999999999999,49.480000000000004,0,0,0,5.6200000000106574,0,30.968421052633357,25.052631578939998,0.62631578947349997,0
17,154,41.299999999999997,17.25,95.450000000000003,41.299999999999997,17.25,0,0,0,0,0,25.052631578939998,25.052631578939998,0.62631578947349997,0
18,160,42.140000000000001,0,117.86000000000001,42.140000000000001,0,0,0,0,0,0,25.052631578939998,25.052631578939998,0.62631578947349997,0
19,162,43.409999999999997,0,98.589999999999989,43.410000000000004,0,0,0,0,20,0,25.052631578939998,3.9999999999999991,0.099999999999999978,0
20,151,46.390000000000001,0,104.61,46.390000000000001,0,0,0,0,0,0,3.9999999999999991,4,0.10000000000000001,0
21,132,52.109999999999999,0,79.889999999999986,52.109999999999999,0,0,0,0,0,0,4,4,0.10000000000000001,0
22,112,54.149999999999999,0,57.850000000000016,54.149999999999999,0,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
23,99,54.939999999999998,0,44.059999999999995,54.939999999999998,0,0,0,0,0,0,4,4,0.10000000000000001,0
