hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,73.584000000000003,0,30,73.584000000000003,0,0,0,11.58400000000001,0,0,19.999999999999996,31.00480000000001,0.77512000000000025,-7.1054273576010019e-15
1,87,77.207999999999998,0,30,37.000000000000007,0,40.207999999999991,0,0,20,0,31.00480000000001,9.9521684210600103,0.24880421052650026,0
2,83,76.031999999999996,0,30,73,0,3.0319999999999965,0,20.000000000000004,0,0,9.9521684210600103,28.952168421060016,0.72380421052650035,-3.5527136788005009e-15
3,81,73.475999999999999,0,30,31,0,42.475999999999999,0,0,20,0,28.952168421060016,7.8995368421200149,0.19748842105300038,0
4,82,69.599999999999994,0,30,69.599999999999994,0,0,0,17.599999999999991,0,0,7.8995368421200149,24.619536842120006,0.61548842105300017,3.5527136788005009e-15
5,89,66.359999999999999,0,30,66.359999999999999,0,0,0,7.359999999999995,0,0,24.619536842120006,31.611536842120003,0.79028842105300012,4.4408920985006262e-15
6,103,66.420000000000002,0,30,66.420000000000002,0,0,0,0,6.5800000000000081,0,31.611536842120003,24.685221052648735,0.61713052631621834,1.4210854715202004e-14
7,122,64.920000000000002,20.699999999999999,30,64.920000000000002,7.4290399999768297,0,13.27096000002317,0,19.650960000023176,0,24.685221052648735,4,0.10000000000000001,1.4210854715202004e-14
8,139,60.408000000000001,59.375999999999991,30,60.408000000000001,59.375999999999998,0,0,10.784000000000006,0,0,4,14.244800000000007,0.35612000000000016,-1.4210854715202004e-14
9,145,56.027999999999999,103.38000000000001,30,31.619999999999983,103.38000000000001,24.408000000000023,0,20.000000000000004,0,0,14.244800000000007,33.244800000000012,0.8311200000000003,-3.5527136788005009e-15
10,141,53.868000000000002,142.99199999999999,30,53.868000000000002,37.131999999999998,0,105.86000000000001,0,20,0,33.244800000000012,12.192168421060012,0.30480421052650031,0
11,134,52.488,170.292,30,52.488,71.511999999999972,0,98.78000000000003,20.000000000000004,0,0,12.192168421060012,31.192168421060018,0.7798042105265004,-3.1974423109204508e-14
12,128,49.824000000000005,180,30,49.823999999999998,28.176000000000005,0,151.82399999999996,0,20,0,31.192168421060018,10.139536842120016,0.2534884210530004,0
13,125,46.908000000000001,170.292,30,46.908000000000001,68.091999999999985,0,102.20000000000002,20.000000000000004,0,0,10.139536842120016,29.139536842120023,0.7284884210530006,-3.5527136788005009e-15
14,127,47.159999999999997,142.99199999999999,30,47.160000000000004,34.522354999985396,0,108.46964500001462,0,15.317645000014593,0,29.139536842120023,13.015700000005042,0.32539250000012604,-1.4210854715202004e-14
15,133,50.484000000000002,103.38000000000001,30,19.619999999999973,103.38000000000001,30.864000000000029,0,20.000000000000004,0,0,13.015700000005042,32.015700000005047,0.80039250000012618,-3.5527136788005009e-15
16,143,51.431999999999995,59.375999999999991,36.385999999994681,51.432000000000002,59.375999999999998,0,0,4.1939999999946851,0,0,32.015700000005047,36,0.90000000000000002,-1.1546319456101628e-14
17,154,49.559999999999995,20.699999999999999,66.385999999994681,49.559999999999995,20.699999999999999,0,0,0,17.354000000005314,0,36,17.732631578948169,0.4433157894737042,0
18,160,50.567999999999998,0,96.385999999994681,50.567999999999998,0,0,0,0,13.046000000005327,0,17.732631578948169,4,0.10000000000000001,0
19,162,52.091999999999992,0,109.90799999999999,52.091999999999999,0,0,0,0,0,0,4,4,0.10000000000000001,0
20,151,55.667999999999999,0,95.331999999999994,55.667999999999999,0,0,0,0,0,0,4,4,0.10000000000000001,0
21,132,62.531999999999996,0,69.467999999999989,62.531999999999996,0,0,0,0,0,0,4,4,0.10000000000000001,0
22,112,64.97999999999999,0,63.467052631578937,64.980000000000004,0,0,0,16.447052631578941,0,0,4,19.624700000000001,0.49061750000000004,0
23,99,65.927999999999997,0,33.467052631578937,65.927999999999997,0,0,0,0.39505263157894394,0,0,19.624700000000001,19.999999999999996,0.49999999999999989,-9.2703622556200571e-15
