scenario,renewable_factor,energy_capacity_MWh,power_capacity_MW,renewable_utilization_pct,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,operating_cost_CNY,curtailment_rate_pct,total_cost_CNY
R080_E000,0.8,0,0,87.113482609,224.312,1394.08,13.56,0,0,668390.4,12.886517391,668390.4
R080_E040,0.8,40,20,90.3959648917,167.17475,1358.41410526,0,81.1421052632,73.23075,509612.194342,9.60403510828,521724.542093
R080_E080,0.8,80,40,92.6548913691,127.854249307,1323.00108587,0,121.218836565,109.4,489715.229917,7.34510863089,513939.925419
R100_E000,1,0,0,78.2654055445,472.91,1221.07,0,0,0,521956.5,21.7345944555,521956.5
R100_E040,1,40,20,81.8231005355,395.500249308,1155.28354571,0,119.213296399,107.59,484525.190859,18.1768994645,496637.53861
R100_E080,1,80,40,83.8273611723,351.890744668,1118.57,0,189.941080332,171.421825,463591.867184,16.1726388277,487816.562686
R120_E000,1.2,0,0,70.0621369218,781.68,1094.672,0,0,0,539471.2,29.9378630782,539471.2
R120_E040,1.2,40,20,72.371107059,721.392605,1050.80010526,0,168.364105263,151.948605,513578.043892,27.628892941,525690.391643
R120_E080,1.2,80,40,73.4771008042,692.515019834,1030.67018283,0,258.083722992,232.92056,501566.773556,26.5228991958,525791.469058
R140_E000,1.4,0,0,62.9123202336,1129.756,1007.58,0,0,0,578604.2,37.0876797664,578604.2
R140_E040,1.4,40,20,64.5875145031,1078.72663421,973.28033241,0,171.586648199,154.85695,557942.012686,35.4124854969,570054.360437
R140_E080,1.4,80,40,65.5637809721,1048.98783934,958.00581,0,319.938160665,288.74419,547987.043267,34.4362190279,572211.738769
