hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,92,85.847999999999999,0,30,62,0,23.847999999999999,0,0,0,0,0,0,,0
1,87,90.075999999999993,0,30,57,0,33.075999999999993,0,0,0,0,0,0,,0
2,83,88.703999999999994,0,30,53,0,35.704000000000008,0,0,0,0,0,0,,0
3,81,85.721999999999994,0,30,51,0,34.722000000000008,0,0,0,0,0,0,,0
4,82,81.199999999999989,0,30,52,0,29.199999999999989,0,0,0,0,0,0,,0
5,89,77.419999999999987,0,30,59,0,18.420000000000002,0,0,0,0,0,0,,0
6,103,77.489999999999995,0,30,73,0,4.4899999999999949,0,0,0,0,0,0,,0
7,122,75.739999999999995,24.149999999999999,30,75.739999999999995,16.260000000000005,0,7.8899999999999935,0,0,0,0,0,,0
8,139,70.475999999999999,69.271999999999991,30,70.475999999999999,38.524000000000001,0,30.748000000000005,0,0,0,0,0,,0
9,145,65.366,120.61,30,65.366,49.634,0,70.975999999999999,0,0,0,0,0,,0
10,141,62.845999999999997,166.82399999999998,30,62.846000000000004,48.153999999999996,0,118.66999999999999,0,0,0,0,0,,0
11,134,61.235999999999997,198.67399999999998,30,61.235999999999997,42.76400000000001,0,155.91,0,0,0,0,0,,0
12,128,58.128,210,30,58.128,39.872000000000014,0,170.12799999999999,0,0,0,0,0,,0
13,125,54.725999999999999,198.67399999999998,30,54.725999999999999,40.274000000000001,0,158.40000000000001,0,0,0,0,0,,0
14,127,55.019999999999996,166.82399999999998,30,55.019999999999996,41.980000000000004,0,124.84399999999998,0,0,0,0,0,,0
15,133,58.897999999999996,120.61,30,58.898000000000003,44.102000000000004,0,76.507999999999996,0,0,0,0,0,,0
16,143,60.003999999999998,69.271999999999991,42.030000000000001,31.698,69.272000000000006,28.305999999999997,0,0,0,0,0,0,,0
17,154,57.819999999999993,24.149999999999999,72.030000000000001,57.82,24.149999999999999,0,0,0,0,0,0,0,,0
18,160,58.995999999999995,0,101.004,58.995999999999995,0,0,0,0,0,0,0,0,,0
19,162,60.773999999999994,0,101.226,60.774000000000001,0,0,0,0,0,0,0,0,,0
20,151,64.945999999999998,0,86.054000000000002,64.945999999999998,0,0,0,0,0,0,0,0,,0
21,132,72.953999999999994,0,59.046000000000006,72.953999999999994,0,0,0,0,0,0,0,0,,0
22,112,75.809999999999988,0,36.190000000000012,75.810000000000002,0,0,0,0,0,0,0,0,,1.4210854715202004e-14
23,99,76.915999999999997,0,30,69,0,7.9159999999999968,0,0,0,0,0,0,,0
