total_load_MWh,renewable_available_MWh,renewable_used_MWh,curtailment_MWh,thermal_generation_MWh,unserved_MWh,charge_MWh,discharge_MWh,renewable_utilization_pct,curtailment_rate_pct,operating_cost_CNY,scenario,energy_capacity_MWh,power_capacity_MW,num_steps,time_step_hours,load_shedding_MWh,storage_discharge_MWh,initial_inventory_supply_MWh,total_cost_CNY,thermal_cost_CNY,storage_cost_CNY,curtailment_cost_CNY,load_shedding_cost_CNY,simulation_hours,storage_capex_CNY,capital_recovery_factor,year_fraction,storage_annualized_investment_CNY_per_year,storage_annual_fixed_om_CNY_per_year,storage_investment_allocated_CNY,storage_fixed_om_CNY,storage_variable_om_CNY,storage_om_cost_CNY,operating_cost_excluding_investment_CNY,initial_inventory_thermal_value_CNY,storage_utilization_pct,solver_status,max_residual,factor
2924,1740.672,1516.3599999999999,224.31200000000007,1394.0800000000002,13.559999999999988,0,0,87.113482609015364,12.886517390984636,668390.39999999991,R080_E000,0,0,24,1,13.559999999999988,0,0,668390.39999999991,487928.00000000006,0,44862.400000000016,135599.99999999988,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,668390.39999999991,0,,Optimal,1.4210854715202004e-14,0.80000000000000004
2924,1740.672,1573.4972499999949,167.17475000000499,1358.4141052631367,0,81.142105263152615,73.230750000020876,90.395964891719686,9.6040351082803088,509612.19434209907,R080_E040,40,20,24,1,0,73.230750000020876,0,521724.54209319846,475444.93684209784,12844.655251099624,33434.950000001001,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,732.30750000020873,2814.4992808221264,511694.38612292096,0,58.333333333333336,Optimal,6.6542327203933382e-12,0.80000000000000004
2924,1740.672,1612.8177506925053,127.85424930749477,1323.0010858725504,0,121.21883656506625,109.40000000001062,92.654891369109464,7.345108630890528,489715.22991689178,R080_E080,80,40,24,1,0,109.40000000001062,0,513939.92541909061,463050.38005539268,25318.695502198938,25570.849861498955,0,24,76000000,0.09634228760924439,0.0027397260273972603,7322013.8583025737,1520000,20060.311940554995,4164.3835616438355,1094.0000000001062,5258.3835616439419,493879.61347853561,0,62.5,Optimal,1.475086719437968e-11,0.80000000000000004
2924,2175.8400000000001,1702.9300000000001,472.91000000000003,1221.0699999999999,0,0,0,78.265405544525322,21.734594455474667,521956.5,R100_E000,0,0,24,1,0,0,0,521956.5,427374.5,0,94582,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,521956.5,0,,Optimal,1.4210854715202004e-14,1
2924,2175.8400000000001,1780.3397506924998,395.5002493075001,1155.283545706352,0,119.21329639886793,107.59000000001596,81.823100535540277,18.176899464459709,484525.19085872336,R100_E040,40,20,24,1,0,107.59000000001596,0,496637.5386098228,404349.24099722318,13188.247751099574,79100.049861500025,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1075.9000000001597,3158.0917808220775,486607.38263954531,0,75,Optimal,7.3736572403504397e-12,1
2924,2175.8400000000001,1823.9492553323576,351.89074466764248,1118.5699999999892,0,189.94108033237893,171.42182500003204,83.827361172345263,16.172638827654723,463591.86718352506,R100_E080,80,40,24,1,0,171.42182500003204,0,487816.56268572388,391499.49999999622,25938.913752199151,70378.1489335285,0,24,76000000,0.09634228760924439,0.0027397260273972603,7322013.8583025737,1520000,20060.311940554995,4164.3835616438355,1714.2182500003205,5878.6018116441555,467756.25074516889,0,83.333333333333343,Optimal,1.475264355121908e-11,1
2924,2611.0079999999998,1829.328,781.68000000000006,1094.672,0,0,0,70.06213692183249,29.937863078167513,539471.19999999995,R120_E000,0,0,24,1,0,0,0,539471.19999999995,383135.20000000001,0,156336,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,539471.19999999995,0,,Optimal,2.8421709430404007e-14,1.2
2924,2611.0079999999998,1889.6153949999621,721.39260500003786,1050.8001052631419,0,168.3641052631526,151.94860500004842,72.371107059034756,27.628892940965248,513578.04389210767,R120_E040,40,20,24,1,0,151.94860500004842,0,525690.39164320705,367780.03684209962,13631.8338010999,144278.52100000757,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1519.4860500004843,3601.677830822402,515660.23567292956,0,83.333333333333343,Optimal,7.3701045266716392e-12,1.2
2924,2611.0079999999998,1918.4929801661356,692.51501983386447,1030.6701828254697,0,258.08372299165916,232.92056000005397,73.477100804215681,26.52289919578433,501566.77355568786,R120_E080,80,40,24,1,0,232.92056000005397,0,525791.46905788674,360734.56398891442,26553.901102199372,138503.0039667729,0,24,76000000,0.09634228760924439,0.0027397260273972603,7322013.8583025737,1520000,20060.311940554995,4164.3835616438355,2329.2056000005396,6493.5891616443751,505731.15711733175,0,79.166666666666657,Optimal,1.475441990805848e-11,1.2
2924,3046.1759999999999,1916.4200000000001,1129.7559999999999,1007.58,0,0,0,62.912320233630624,37.087679766369376,578604.19999999995,R140_E000,0,0,24,1,0,0,0,578604.19999999995,352653,0,225951.19999999998,0,24,0,0.09634228760924439,0.0027397260273972603,0,0,0,0,0,0,578604.19999999995,0,,Optimal,2.8421709430404007e-14,1.3999999999999999
2924,3046.1759999999999,1967.4493657894272,1078.7266342105725,973.28033240996331,0,171.58664819943704,154.85695000004614,64.587514503082787,35.412485496917199,557942.01268560207,R140_E040,40,20,24,1,0,154.85695000004614,0,570054.36043670157,340648.11634348717,13660.917251099876,215745.3268421145,0,24,38000000,0.09634228760924439,0.0027397260273972603,3661006.9291512868,760000,10030.155970277498,2082.1917808219177,1548.5695000004614,3630.7612808223794,560024.20446642407,0,83.333333333333343,Optimal,7.3701045266716392e-12,1.3999999999999999
2924,3046.1759999999999,1997.1881606647257,1048.987839335274,958.00580999998681,0,319.9381606647579,288.74419000004514,65.563780972101597,34.436219027898389,547987.04326705064,R140_E080,80,40,24,1,0,288.74419000004514,0,572211.73876924941,335302.03349999536,27112.137402199281,209797.56786705481,0,24,76000000,0.09634228760924439,0.0027397260273972603,7322013.8583025737,1520000,20060.311940554995,4164.3835616438355,2887.4419000004514,7051.8254616442864,552151.42682869441,0,95.833333333333343,Optimal,1.475441990805848e-11,1.3999999999999999
