hour,load,wind_available,solar_available,thermal,wind_used,solar_used,wind_curt,solar_curt,charge,discharge,unserved,energy_start_MWh,energy_MWh,soc,balance_error_MW
0,87.400000000000006,0,5.1100000000000003,82.289999999999992,0,5.1100000000000003,0,0,0,0,0,19.999999999999996,20,0.5,-1.4210854715202004e-14
1,82.650000000000006,0,12.81,69.840000000000003,0,12.809999999999999,0,0,0,0,0,20,20,0.5,0
2,78.849999999999994,0,21.309999999999999,57.539999999999999,0,21.310000000000002,0,0,0,0,0,20,20,0.5,0
3,76.950000000000003,0,26.07,50.88000000000001,0,26.07,0,0,0,0,0,20,20,0.5,1.4210854715202004e-14
4,77.900000000000006,0,22.890000000000001,55.009999999999998,0,22.890000000000001,0,0,0,0,0,20,20,0.5,0
5,84.549999999999997,0,17.609999999999999,66.939999999999998,0,17.609999999999999,0,0,0,0,0,20,20,0.5,0
6,97.849999999999994,0,8.4399999999999995,94.512105263157878,0,8.4399999999999995,0,0,5.1021052631578945,0,0,20,24.846999999999998,0.62117499999999992,-1.3322676295501878e-14
7,115.90000000000001,0,7.6399999999999997,120,0,7.6399999999999997,0,0,11.74,0,0,24.846999999999998,36,0.90000000000000002,-5.3290705182007514e-15
8,132.05000000000001,0,4.2400000000000002,120,0,4.2400000000000002,0,0,0,7.8100000000000183,0,36,27.778947368423911,0.69447368421059774,0
9,137.75,0,0.35999999999999999,120,0,0.36000000000000004,0,0,0,10.820000000010632,6.5699999999893679,27.778947368423911,16.389473684206177,0.40973684210515443,0
10,133.94999999999999,2.1800000000000002,0,120,2.1800000000000002,0,0,0,0,11.769999999999989,0,16.389473684206177,4,0.10000000000000001,0
11,127.3,8.25,0,119.05000000000001,8.25,0,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
12,121.59999999999999,13.970000000000001,0,107.62999999999997,13.970000000000001,0,0,0,0,0,0,4,4,0.10000000000000001,-2.8421709430404007e-14
13,118.75,16.41,0,110.42421052631579,16.41,0,0,0,8.0842105263157897,0,0,4,11.68,0.29199999999999998,-3.5527136788005009e-15
14,120.65000000000001,16.899999999999999,0,120,16.899999999999999,0,0,0,16.250000000000018,0,0,11.68,27.117500000000021,0.67793750000000053,-1.7763568394002505e-14
15,126.34999999999999,15.699999999999999,0,120,15.699999999999999,0,0,0,9.3499999999999819,0,0,27.117500000000021,36,0.90000000000000002,1.2434497875801753e-14
16,135.84999999999999,12.83,0,120,12.829999999999998,0,0,0,0,3.0199999999999969,0,36,32.821052631580066,0.82052631578950164,0
17,146.30000000000001,9.8200000000000003,0,120,9.8200000000000003,0,0,0,0,16.479999999999997,0,32.821052631580066,15.473684210533508,0.38684210526333768,-2.8421709430404007e-14
18,152,9.1300000000000008,0,120,9.1300000000000008,0,0,0,0,10.900000000010648,11.969999999989357,15.473684210533508,4,0.10000000000000001,0
19,153.90000000000001,9.2400000000000002,0,120,9.2400000000000002,0,0,0,0,0,24.660000000000018,4,4,0.10000000000000001,2.8421709430404007e-14
20,143.44999999999999,8.4600000000000009,0,120,8.4600000000000009,0,0,0,0,0,14.989999999999975,4,4,0.10000000000000001,0
21,125.40000000000001,6.5800000000000001,0,118.82000000000001,6.5800000000000001,0,0,0,0,0,0,4,4,0.10000000000000001,0
22,106.40000000000001,5.8099999999999996,0,100.59000000000002,5.8099999999999996,0,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
23,94.049999999999997,4.79,0.48999999999999999,88.77000000000001,4.79,0.49000000000000005,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
24,92,2.6800000000000002,4.4699999999999998,84.849999999999994,2.6799999999999997,4.4699999999999998,0,0,0,0,0,4,4,0.10000000000000001,0
25,87,0.13,10.94,75.929999999999993,0.13,10.940000000000001,0,0,0,0,0,4,4,0.10000000000000001,0
26,83,0.81000000000000005,16.359999999999999,65.830000000000013,0.81000000000000005,16.359999999999999,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
27,81,1.25,19.829999999999998,59.919999999999987,1.25,19.830000000000002,0,0,0,0,0,4,4,0.10000000000000001,-1.4210854715202004e-14
28,82,1.8999999999999999,24.059999999999999,56.039999999999992,1.8999999999999999,24.060000000000002,0,0,0,0,0,4,4,0.10000000000000001,0
29,89,5.1200000000000001,33.060000000000002,53.704736842105262,5.1200000000000001,33.060000000000002,0,0,2.884736842105267,0,0,4,6.7405000000000053,0.16851250000000012,2.2204460492503131e-15
30,103,8.9000000000000004,24.690000000000001,83.704736842105262,8.9000000000000004,24.689999999999998,0,0,14.29473684210525,0,0,6.7405000000000053,20.320499999999985,0.50801249999999964,1.5987211554602254e-14
31,122,10.359999999999999,14.44,113.70473684210526,10.359999999999999,14.44,0,0,16.50473684210527,0,0,20.320499999999985,36,0.90000000000000002,3.5527136788005009e-15
32,139,8.25,3.2400000000000002,120,8.25,3.2400000000000002,0,0,0,7.5100000000000051,0,36,28.094736842108027,0.7023684210527007,0
33,145,8.0899999999999999,0.51000000000000001,120,8.0899999999999999,0.51000000000000001,0,0,0,16.400000000000002,0,28.094736842108027,10.831578947377226,0.27078947368443063,0
34,141,11.109999999999999,0,120,11.109999999999999,0,0,0,0,5.1200000000106298,4.769999999989369,10.831578947377226,5.442105263157397,0.13605263157893493,2.8421709430404007e-14
35,134,12.630000000000001,0,120,12.629999999999999,0,0,0,0,1.3700000000000068,0,5.442105263157397,4,0.10000000000000001,0
36,128,12.42,0,120,12.42,0,0,0,4.4199999999999982,0,0,4,8.1989999999999981,0.20497499999999996,-1.0658141036401503e-14
37,125,11.949999999999999,0,120,11.950000000000001,0,0,0,6.9499999999999984,0,0,8.1989999999999981,14.801499999999995,0.37003749999999991,-9.7699626167013776e-15
38,127,10.67,0,120,10.67,0,0,0,3.6700000000000057,0,0,14.801499999999995,18.288000000000004,0.45720000000000011,-1.8207657603852567e-14
39,133,9.4700000000000006,0,120,9.4700000000000006,0,0,0,0,3.5300000000000029,0,18.288000000000004,14.572210526317091,0.36430526315792727,0
40,143,8.4100000000000001,0,120,8.4100000000000001,0,0,0,0,10.043600000004753,4.5463999999952485,14.572210526317091,4,0.10000000000000001,0
41,154,6.9699999999999998,0,120,6.9699999999999998,0,0,0,0,0,27.029999999999987,4,4,0.10000000000000001,0
42,160,5.3700000000000001,0,120,5.3700000000000001,0,0,0,0,0,34.63000000000001,4,4,0.10000000000000001,0
43,162,3.9900000000000002,0,120,3.9900000000000002,0,0,0,0,0,38.009999999999991,4,4,0.10000000000000001,0
44,151,2.9900000000000002,0,120,2.9900000000000002,0,0,0,0,0,28.010000000000002,4,4,0.10000000000000001,0
45,132,2.4100000000000001,0,120,2.4100000000000001,0,0,0,0,0,9.5899999999999856,4,4,0.10000000000000001,-2.8421709430404007e-14
46,112,2.1200000000000001,0,109.88000000000001,2.1200000000000001,0,0,0,0,0,0,4,4,0.10000000000000001,1.4210854715202004e-14
