hour,load,wind,solar
0,87.40,0.00,5.11
1,82.65,0.00,12.81
2,78.85,0.00,21.31
3,76.95,0.00,26.07
4,77.90,0.00,22.89
5,84.55,0.00,17.61
6,97.85,0.00,8.44
7,115.90,0.00,7.64
8,132.05,0.00,4.24
9,137.75,0.00,0.36
10,133.95,2.18,0.00
11,127.30,8.25,0.00
12,121.60,13.97,0.00
13,118.75,16.41,0.00
14,120.65,16.90,0.00
15,126.35,15.70,0.00
16,135.85,12.83,0.00
17,146.30,9.82,0.00
18,152.00,9.13,0.00
19,153.90,9.24,0.00
20,143.45,8.46,0.00
21,125.40,6.58,0.00
22,106.40,5.81,0.00
23,94.05,4.79,0.49
24,92.00,2.68,4.47
25,87.00,0.13,10.94
26,83.00,0.81,16.36
27,81.00,1.25,19.83
28,82.00,1.90,24.06
29,89.00,5.12,33.06
30,103.00,8.90,24.69
31,122.00,10.36,14.44
32,139.00,8.25,3.24
33,145.00,8.09,0.51
34,141.00,11.11,0.00
35,134.00,12.63,0.00
36,128.00,12.42,0.00
37,125.00,11.95,0.00
38,127.00,10.67,0.00
39,133.00,9.47,0.00
40,143.00,8.41,0.00
41,154.00,6.97,0.00
42,160.00,5.37,0.00
43,162.00,3.99,0.00
44,151.00,2.99,0.00
45,132.00,2.41,0.00
46,112.00,2.12,0.00
47,99.00,1.56,1.39
48,96.60,0.00,13.84
49,91.35,0.00,33.60
50,87.15,0.00,52.38
51,85.05,0.00,68.88
52,86.10,0.00,61.25
53,93.45,0.00,61.78
54,108.15,0.00,50.15
55,128.10,0.00,32.24
56,145.95,0.00,12.20
57,152.25,0.00,0.91
58,148.05,0.00,0.00
59,140.70,0.00,0.00
60,134.40,0.00,0.00
61,131.25,0.05,0.00
62,133.35,0.29,0.00
63,139.65,0.11,0.00
64,150.15,0.00,0.00
65,161.70,0.22,0.00
66,168.00,0.72,0.00
67,170.10,1.16,0.00
68,158.55,1.61,0.00
69,138.60,2.74,0.00
70,117.60,4.83,0.00
71,103.95,5.89,1.52
72,87.40,2.96,17.02
73,82.65,0.53,38.85
74,78.85,0.05,60.16
75,76.95,0.00,63.54
76,77.90,0.00,72.48
77,84.55,0.00,66.13
78,97.85,0.00,53.67
79,115.90,0.00,32.98
80,132.05,0.00,11.53
81,137.75,0.00,0.68
82,133.95,0.00,0.00
83,127.30,0.00,0.00
84,121.60,0.00,0.00
85,118.75,0.00,0.00
86,120.65,0.00,0.00
87,126.35,0.00,0.00
88,135.85,0.00,0.00
89,146.30,0.00,0.00
90,152.00,0.00,0.00
91,153.90,0.00,0.00
92,143.45,0.00,0.00
93,125.40,0.00,0.00
94,106.40,0.00,0.00
95,94.05,0.00,0.42
96,92.00,0.00,5.73
97,87.00,0.00,12.99
98,83.00,0.00,19.53
99,81.00,0.00,25.62
100,82.00,0.00,26.08
101,89.00,0.00,25.15
102,103.00,0.00,19.71
103,122.00,0.00,11.82
104,139.00,0.00,3.20
105,145.00,0.00,0.36
106,141.00,0.00,0.00
107,134.00,0.68,0.00
108,128.00,1.74,0.00
109,125.00,2.55,0.00
110,127.00,2.83,0.00
111,133.00,2.49,0.00
112,143.00,1.64,0.00
113,154.00,0.64,0.00
114,160.00,0.00,0.00
115,162.00,0.00,0.00
116,151.00,0.00,0.00
117,132.00,0.00,0.00
118,112.00,0.54,0.00
119,99.00,2.80,1.60
120,96.60,4.75,18.62
121,91.35,4.36,44.05
122,87.15,10.80,68.04
123,85.05,9.71,84.47
124,86.10,8.25,81.69
125,93.45,6.54,76.69
126,108.15,4.21,63.14
127,128.10,1.69,42.34
128,145.95,0.00,18.20
129,152.25,0.00,1.40
130,148.05,0.00,0.00
131,140.70,0.00,0.00
132,134.40,0.00,0.00
133,131.25,0.00,0.00
134,133.35,1.90,0.00
135,139.65,4.71,0.00
136,150.15,6.97,0.00
137,161.70,7.88,0.00
138,168.00,7.36,0.00
139,170.10,6.03,0.00
140,158.55,4.48,0.00
141,138.60,3.09,0.00
142,117.60,2.35,0.00
143,103.95,2.58,2.18
144,87.40,2.32,23.72
145,82.65,0.20,50.90
146,78.85,0.16,73.49
147,76.95,1.66,88.24
148,77.90,1.64,90.62
149,84.55,1.46,85.26
150,97.85,1.09,69.87
151,115.90,0.45,47.47
152,132.05,0.00,20.92
153,137.75,0.00,1.64
154,133.95,0.54,0.00
155,127.30,3.09,0.00
156,121.60,6.44,0.00
157,118.75,8.90,0.00
158,120.65,9.53,0.00
159,126.35,8.85,0.00
160,135.85,7.88,0.00
161,146.30,7.31,0.00
162,152.00,7.36,0.00
163,153.90,6.97,0.00
164,143.45,5.59,0.00
165,125.40,3.70,0.00
166,106.40,3.15,0.00
167,94.05,3.88,2.04
