hour,load,wind,solar,renewable,renewable_used,curtailment,thermal,unserved,curtailment_MWh,unserved_MWh,balance_error_MW
0,92,61.3200000000,0.0000000000,61.3200000000,61.3200000000,0.0000000000,30.6800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
1,87,64.3400000000,0.0000000000,64.3400000000,64.3400000000,0.0000000000,22.6600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2,83,63.3600000000,0.0000000000,63.3600000000,63.3600000000,0.0000000000,19.6400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3,81,61.2300000000,0.0000000000,61.2300000000,61.2300000000,0.0000000000,19.7700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4,82,58.0000000000,0.0000000000,58.0000000000,58.0000000000,0.0000000000,24.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5,89,55.3000000000,0.0000000000,55.3000000000,55.3000000000,0.0000000000,33.7000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6,103,55.3500000000,0.0000000000,55.3500000000,55.3500000000,0.0000000000,47.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7,122,54.1000000000,17.2500000000,71.3500000000,71.3500000000,0.0000000000,50.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8,139,50.3400000000,49.4800000000,99.8200000000,99.8200000000,0.0000000000,39.1800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9,145,46.6900000000,86.1500000000,132.8400000000,132.8400000000,0.0000000000,12.1600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10,141,44.8900000000,119.1600000000,164.0500000000,141.0000000000,23.0500000000,0.0000000000,0.0000000000,23.0500000000,0.0000000000,0.0000000000
11,134,43.7400000000,141.9100000000,185.6500000000,134.0000000000,51.6500000000,0.0000000000,0.0000000000,51.6500000000,0.0000000000,0.0000000000
12,128,41.5200000000,150.0000000000,191.5200000000,128.0000000000,63.5200000000,0.0000000000,0.0000000000,63.5200000000,0.0000000000,0.0000000000
13,125,39.0900000000,141.9100000000,181.0000000000,125.0000000000,56.0000000000,0.0000000000,0.0000000000,56.0000000000,0.0000000000,0.0000000000
14,127,39.3000000000,119.1600000000,158.4600000000,127.0000000000,31.4600000000,0.0000000000,0.0000000000,31.4600000000,0.0000000000,0.0000000000
15,133,42.0700000000,86.1500000000,128.2200000000,128.2200000000,0.0000000000,4.7800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16,143,42.8600000000,49.4800000000,92.3400000000,92.3400000000,0.0000000000,50.6600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17,154,41.3000000000,17.2500000000,58.5500000000,58.5500000000,0.0000000000,95.4500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
18,160,42.1400000000,0.0000000000,42.1400000000,42.1400000000,0.0000000000,117.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19,162,43.4100000000,0.0000000000,43.4100000000,43.4100000000,0.0000000000,118.5900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20,151,46.3900000000,0.0000000000,46.3900000000,46.3900000000,0.0000000000,104.6100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
21,132,52.1100000000,0.0000000000,52.1100000000,52.1100000000,0.0000000000,79.8900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
22,112,54.1500000000,0.0000000000,54.1500000000,54.1500000000,0.0000000000,57.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
23,99,54.9400000000,0.0000000000,54.9400000000,54.9400000000,0.0000000000,44.0600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
